"","session_title","session_jel_code","number_of_authors","number_of_papers"
"1","","",32,3
"2","200 Years of Women Economists (Co-Hosted with CSWEP) (B1, B2)","",5,4
"3","60 Million Refugees","J1",4,4
"4","8th Annual Economics Humor Session in Honor of Caroline Postelle Clotfelter","",3,3
"5","Advances in Asset Pricing","A1",9,4
"6","Advances in Behavioral Economics (C9, D9)","",14,4
"7","Advances in Contract and Tax Theory","A1",8,4
"8","Advances in International Finance","G1",11,4
"9","Advances in Matching Theory","A1",10,5
"10","Advances in Open Macroeconomics: Frictions in Goods and Financial Markets (F4, F3)","",9,4
"11","AEA/CSMGEP Dissertation Session (J1, I1)","",4,4
"12","AFA LECTURE - Neuroscience and Finance","G1",1,1
"13","Aftermath of the Great Recession: Labor Markets in Flux","J2",4,4
"14","Agency and Brokerage (R3, J4)","",10,4
"15","Aggregate Volatility Shocks: Real and Financial Effects","G1",8,3
"16","Aging and its Economic Consequences (J1, I1)","",7,3
"17","Alternative Views of the Business Cycle: Quantitative Analyses","E3",9,4
"18","Analysis of Trade and Localization in Agricultural Products and Processed Foods","A1",6,3
"19","Ancient States and Civilizations","A1",8,3
"20","Apartheid as Natural Experiment","N3",8,4
"21","Are Emerging Markets Facing Growth Stagnation? (F4, F4)","",4,4
"22","Assessing the Costs and Benefits of Occupational Licensing and Certification (J1, K2)","",11,5
"23","Assessing the Impact of the Minimum Wage","J3",7,3
"24","Attitudes, Markets and Oligarchs in Russia","O5",5,3
"25","Auctions: Theory and Evidence","A1",7,4
"26","Automobile Fuel-Use and Pollution Policies (Q4, L9)","",8,4
"27","Banking (G2, R3)","",6,4
"28","Banking Risk and Complexity","G2",9,4
"29","Bankruptcy and Distress","G3",9,3
"30","Banks, Downturns, and Disasters","G2",8,4
"31","Becoming Applied: The Transformation of Economics after 1970 (B2, B4)","",6,4
"32","Behavioral CEOs","G3",10,4
"33","Behavioral Development Economics - New Theory and Evidence (O1, D9)","",7,4
"34","Behavioral Finance","G1",24,10
"35","Behavioral Finance and Consumer Choice (D1, G2)","",12,4
"36","Behavioral Finance: Investor Behavior and Asset Prices","G1",10,3
"37","Behavioral Interventions and Environmental Sustainability (D1, Q4)","",14,4
"38","Behavioral Models of Housing Cycles (G1, R2)","",11,4
"39","Behavioral Responses to Taxation","H2",10,5
"40","Big Data in the Labor Market: New Research from Job Boards and Networking Sites (J6, C8)","",8,4
"41","Big Data: Challenges and Insights for Causal Inference (C8, C1)","",10,4
"42","Bond Markets","G1",9,4
"43","Brain Drain, Gain and Circulation (F2, O3)","",12,4
"44","Broken Promises or a Lifeline to the Future: Perspectives on the Multiemployer Pension Reform Act of 2014","J5",5,4
"45","Bureaucrats and Politicians: Experimental and Quasi-Experimental Studies","A1",15,4
"46","Capital Controls (F3, E6)","",14,4
"47","Capital Structure and Cash Holdings","G1",5,3
"48","Capital, Knowledge and Diffusion on the Path to the Industrial Revolution","A1",9,4
"49","Causes and Consequences of Women's Empowerment (D1, I3)","",7,4
"50","Causes of the Great Recession and the Prospects for Recovery","E3",5,3
"51","CEOs/CFOs/Boards","G3",6,3
"52","Changes in the Labor Market (J3, J6)","",9,4
"53","Changing Markets and Space (R3, G2)","",8,4
"54","Charitable Giving and Natural Disasters (D6, H4)","",8,3
"55","Child and Maternal Health (I1, J1)","",9,4
"56","China's eCommerce Development","M1",11,4
"57","Chinese Consumption and Saving Behavior: Evidence from Household Survey Data","D1",11,4
"58","Chinese Economic Data: Users' Guide (P2, E2)","",6,4
"59","Chinese Housing Market: Facts and Consequences (R1, E3)","",12,4
"60","Chinese Housing Markets (R2, O1)","",13,4
"61","Cities, Equity, and Labor Market Policies","J3",6,4
"62","CoCos: Funding Costs, Risks and Financial Stability (G2, E5)","",12,4
"63","Commercial Real Estate (G1, R3)","",12,4
"64","Commodities","G1",9,4
"65","Compensation and Agency","G3",10,4
"66","Competition, Contracting Frictions, and Commodity Markets: Implications for Asset Prices","G1",10,4
"67","Competition, Hospitals' Negotiated Prices, and Health Care Spending (I1, L1)","",13,4
"68","Confronting Stagnant Compensation","J3",4,4
"69","Contracting","A1",9,4
"70","Contractual Issues in Developing Countries (O1, D8)","",11,4
"71","Contributed Papers in Physician Practices, Commercial Insurance, and HMO Penetration (I1, D4)","",7,3
"72","Corporate Control - Governance","G3",10,4
"73","Corporate Disclosure and Accounting","G3",6,3
"74","Couples' Retirement and Social Security around the World (J2, D1)","",11,5
"75","Credit Risk","G1",11,4
"76","Credit, Frictions, and the Macroeconomy","E2",11,5
