"","session_title","session_jel_code","number_of_authors","number_of_papers"
"1","50 Years of the Journal of Economic Education","A2",7,4
"2","Accounting for Earnings Capacity and Worklife Expectancy","K1, J2",7,3
"3","Accounting for Gender Differential Outcomes","J1, J2",9,5
"4","Active and Passive Investors","G3",11,4
"5","Adjusting to Globalization: The Americas Perspective","F6",14,4
"6","Advances in Dynamic Mechanism Design","D8, C7",7,4
"7","Advances in Micro-Econometrics","C1, C4",11,4
"8","Advances in Modeling Human Capital and Education","J2, I2",8,5
"9","AEA Committee on Economic Education Poster Session","A2",35,18
"10","AFA Ph.D. Student Poster Session","G0",158,94
"11","Affordable Care Act Issues in the Trump Era","I0, I1",9,3
"12","Affordable Housing","R1, R3",10,4
"13","Agency Problems","R3, D8",11,4
"14","Aging, Cognitive Ability and Financial Literacy","D1, J1",8,3
"15","Agricultural Insurance in Developing and Emerging Economics: Demand, Impacts, and Future Prospects","F0",6,3
"16","Analysts, News, Media and Market Sentiment","G1",7,4
"17","Application of Behavioral Economics to Asia","D9, O5",8,4
"18","Applications of Auctions and Negotiations","D4, L1",9,4
"19","Applications of Machine Learning in Microeconomics for Public Policy","C1",12,5
"20","Applied Machine Learning","C2",7,3
"21","Applying Regulation, Medication and Big Data to the Opioid Crisis","I1, I0",5,3
"22","Are Men and Women Different Economic Agents?","J1, J7",10,4
"23","Artificial Intelligence, Data Science and Economics at the Crossroads","C8, A1",11,5
"24","Assessing the Globalization Backlash","F1, F6",15,4
"25","Asset Markets and Financial Crises in Historical Perspective","N1, N2",7,4
"26","Asset Pricing","G1",13,5
"27","Asset Pricing and Volatility","C2, C5",8,4
"28","Asset Pricing Anomalies","G1",6,3
"29","Asset Pricing: Implications of Financial Constraints","G1",9,4
"30","Asset Pricing: Stock Markets","G1",7,3
"31","Auctions","D4",9,5
"32","Auctions & Mechanism Design","D4, D8",5,4
"33","Authoritarianism and the Media","P5, H0",10,4
"34","Automation, Jobs, and Productivity: Aggregate and Micro Evidence","O3, J2",12,4
"35","Bailouts, Bail-ins and Resolution","G1",11,4
"36","Bank Lending and Asset Holding","G2",15,4
"37","Bank Lending and Cross-border Flows","G2, F3",13,4
"38","Bank Lending and Firm Financing","G2",12,3
"39","Banking Regulation","G2, G1",7,4
"40","Banking Regulation in the Macroeconomy","G2, E3",10,4
"41","Barriers to Boardrooms","G0",10,3
"42","Bayesian and Likelihood Methods","C1, C5",10,4
"43","Behavioral Corporate Finance","G3",11,4
"44","Behavioral Hedonics: New Insights for Environmental Valuation","Q5, R3",8,4
"45","Big Data in Spatial Economics","F1, R1",17,5
"46","Big Data in the Modern Economy","O4, L1",15,4
"47","Big Data, Consumer Behavior, Energy and Climate Change","Q4, C5",15,4
"48","Black Women and Work","B5, J1",6,5
"49","Blockchain and Cryptocurrencies","G0",6,3
"50","Blockchain and Tokenomics","E4, G1",11,4
"51","Blockchain Economy and Cryptocurrency Markets","O3, G1",7,3
"52","Borrower Behavior, and Mortgage Losses","G2, R3",8,4
"53","Bringing Economic Research into Public Policy Discussions","J0, H0",5,3
"54","Buddhist Economics","Z1",4,4
"55","Bunching Evidence on Responses to Taxation and Regulation","H2, H3",11,4
"56","Capital Flows, Currencies, and International Arbitrage","F3, F4",13,4
"57","Capital Requirements and Monetary Policy","G2",11,5
"58","Capital Structure (Leverage)","G3",8,3
"59","Capitalist Development in the Periphery","O1, B5",4,4
"60","Carrots and Coercion in Labor Mobility and Economic Development","N3",9,4
"61","Causes and Consequences of Rising Concentration in the United States Economy","D2, D4",8,4
"62","Censorship","D8, O3",9,4
"63","Central Banks’ Corporate Bond Purchases: Impact and Channels","E5, E4",13,4
"64","Challenges for Latin America","O1, B5",3,2
"65","Charter Schools: Replication, Selection, and Spillovers","I2, H4",11,4
"66","China","L5, F1",13,5
"67","Climate Change Adaptation","Q5, D0",7,3
"68","Climate Change: Impacts and Opportunities for Adaptation","Q5, I0",9,4
"69","Co-Operation, Conflict and Power: Households, Markets and the Policy Domain","J6, F6",7,3
"70","Cognitive Economics","D8, D9",10,4
"71","Commercial Real Estate 2","G1, R0",10,4
"72","Commercial Real Estate I","R3, G1",9,4
"73","Common-Pool Resources","Q5, Q2",9,4
"74","Conceptualizing Labor","J0, J1",5,4
"75","Conflict and Governance","D7",6,4
"76","Consumer Finance:  Demand, Public Policy, and Market Equilibrium","D1, G2",12,4
"77","Consumption and Space","R2, F0",12,3
"78","Contracts and Complexity","G3",7,3
"79","Contracts and Incentives","G3",12,4
"80","Contributed Papers in Health Economics","I1, I0",6,3
"81","Cooperation, for Good or Ill","Z1",8,5
"82","Coordination in Social and Political Environments","D7, C7",6,3
"83","Corporate Bonds and Derivatives","G1",7,3
"84","Corporate Borrowing","G3",10,3
"85","Corporate Culture","G3",15,4
"86","Corporate Governance: Creditor and Shareholder Monitoring","G3",11,4
"87","Credit Markets","E3",10,5
"88","Credit: Empirical Macroeconomic Implications","E2, G2",8,3
"89","Crime and Development","O1, J2",4,3
"90","Cronyism, Corruption and Growth","O4, P0",9,4
"91","Cross-Sectional Asset Pricing","G1, C5",5,3
"92","Crypto-currency Markets","G1",11,4
"93","CSMGEP Dissertation Session","I0, J0",5,4
"94","Cultural Practices and Women's Lives","J1, J7",7,4
"95","Cycles","O1, E3",9,4
"96","Debt Management and Optimal Taxation","E6, H6",11,4
"97","Decision Making:  The More You Know…","A2",9,4
"98","Decision-Making on Behalf of Others","D9, D7",8,4
"99","Default and Foreclosure","G0, E5",10,4
"100","Demand for Labor","J2",12,5
"101","Density, Spillovers and Amenities","G1, R1",10,4
"102","Derivatives","G1",7,4
"103","Determinants of Academic Persistence and Success","I2",12,4
"104","Determinants of Children's Health","I1",12,6
"105","Development and Financial History","N3, N2",7,4
"106","Different Perspectives on Time Use: Nature, Norms, Crisis and Policy","J3, F6",3,3
"107","Disclosure, Regulation, and Banking","G2",8,4
"108","Discrimination in Health Care","I1, J1",5,3
"109","Distributional Diversity in the National Accounts","E6, D3",7,4
"110","Dynamic Behavioral Theory","D9, D8",10,4
"111","Dysfunction in the Real Estate Market","R3, D4",12,4
"112","Earnings Dynamics in the United States: Trends and Reconciliation","J3, C5",10,4
"113","Econometric Methods for Endogenous Networks","C4, C1",9,4
"114","Econometrics of Network and Panel data","C2, D8",5,4
"115","Econometrics of Policy Evaluation","C2",8,3
"116","Economic Consequences of Dominant Currencies","F0",9,3
"117","Economic Effects of Fiscal Shocks","E6, H3",12,4
"118","Economic Inequality and Air Pollution","Q5",8,3
"119","Economic Issues Involving Race","J1",12,5
"120","Economic Perspectives on Potential Future Developments of the EU Emissions Trading Scheme: Multilateral Linkages, Price Floors, and Use of Auction Revenues","Q5, H2",13,4
"121","Economic Policy and Vulnerable Populations","J6, O1",12,5
"122","Economic Trade and Development","F1, F5",6,5
"123","Economics and Engineering: Institutions, Practices and Cultures","B2, B1",4,3
"124","Economics of Altruism: Evidence from the Field","H4",9,3
"125","Economics of Conflict","C7, F5",9,4
"126","Economics of Crime","K4",12,6
"127","Economics of Data","D4, L1",8,3
"128","Economics of Fertility","J1",9,5
"129","Economics of Financial Technology","E5, G2",5,3
"130","Economics of National Security","H5, F5",9,4
"131","Economics of Networks","E1, D2",5,3
"132","Economics of SNAP Using Administrative Data","D0, I0",11,4
"133","Economics of the Pharmaceutical Industry: Current Issues","I1, I1",8,3
"134","Economics of Transportation II","L9, L9",11,5
"135","Economics with Ancient Data","N7, O4",17,4
"136","Electricity Markets","Q4, Q5",5,4
"137","Electricity Markets and the Environment","Q4, Q5",7,4
"138","Empirical Compensation and Incentives","G3",9,4
"139","Empirical Studies of Bank Regulation and Bank Market Structure","G2",10,4
"140","Empirical Studies of Collusion","L1, L4",12,4
"141","Empirical Studies of Growth and Distribution","O1, E6",4,3
"142","Energy and Macroeconomics","E2, Q4",6,4
