"","session_title","session_jel_code","number_of_authors","number_of_papers"
"1","","",37,5
"2","""Preferences"" and the Social Responsibility of Production and Consumption","Q2",7,4
"3","A New International Monetary Order?","F3",4,4
"4","Acquisitions: Novel Aspects","G3",9,4
"5","Advance in the Theory of Contests and Tournaments","C7",8,4
"6","Advances in International Trade","F1",11,4
"7","Advances in Optimal Taxation","H2",6,3
"8","AEA Committee on the Status of Minority Groups in the Economics Profession--Dissertation Session","J1",5,5
"9","AEA/ODE Graduate-Student Session (G,H)","",4,4
"10","Affordable Housing","R2",11,4
"11","African Economic Development I","O1",8,6
"12","African Economic Development II","O1",10,6
"13","African Economic Growth and Development","O3",7,5
"14","Agglomeration and Herding","R1",11,4
"15","AILR/LERA Best Papers Session","J5",7,4
"16","Air Pollution and Development","Q5",13,4
"17","Allocation Decisons in Uncertain Dynamic Environments","C8",7,4
"18","Alternative Credit and Consumer Rationality","G2",6,4
"19","Alternative Forms of Worker Representation: Lessons from Selected Sectors and Countries","J5",5,4
"20","Analysis and Computation of Large Games and Mechanisms","C7",8,4
"21","Analysts: Forecasts, Following, etc.","G2",8,4
"22","Analyzing Occupational Licensing across Institutional Settings","P5",13,4
"23","Anchoring and Reference Points","G1",7,3
"24","Annual Poster Session on Active Learning Strategies","A2",41,24
"25","Anomalies","G1",8,3
"26","Anomalies - Behavioral","G1",8,3
"27","Anomalies and Inefficiency 1","G1",7,3
"28","Anomalies and Inefficiency 2","G1",8,3
"29","Applications of the Synthetic Control Method","C2",11,4
"30","Aspects of Inequality in Economic Relationships","D3",5,4
"31","Aspects of the Labor Market during the Great Recession","J6",9,5
"32","Assessment of Climate Change Impact Methods for Agriculture","Q5",8,3
"33","Asset Ownership, the Intra-Household Distribution of Wealth and Household Decision-Making in Ecuador, Ghana and India","O5",9,4
"34","Asset Prices and Wealth Dynamics with Heterogeneous Beliefs","D8",7,4
"35","Asset Pricing Theory (Liquidity)","G1",6,3
"36","Asset Pricing Theory 2","G1",11,4
"37","Asset Pricing Theory I","G1",6,3
"38","Attention and Choice","D8",5,3
"39","Auction Design","L9",5,3
"40","Autos, Fuel Economy, and the Environment","Q4",8,4
"41","Bank Liquidity, Lending, and Collateral","G2",10,4
"42","Bank Risk","G2",11,5
"43","Banking and Financial Institutions 2","G2",12,4
"44","Banking and Systematic Risk","G2",8,4
"45","Banking in Crisis","G2",9,4
"46","Bankruptcy and Distress","G3",10,4
"47","Banks: Risk-Taking and Opaqueness","G2",9,4
"48","Bargaining for Quality: Labor Management Relations and the Delivery of High Quality Health Care","J1",12,4
"49","Behavioral Economics and Health","I1",10,3
"50","Behavioral Finance - Corporate","G3",12,4
"51","Behavioral Finance - Markets","G1",8,4
"52","Behavioral Responses to Government Programs","H8",8,4
"53","Behavioral Welfare Economics","D6",8,4
"54","Bilateral Contracting","D8",8,3
"55","Bonds and CDS Markets","G1",7,3
"56","Bubbles and Financial Crisis","E3",9,4
"57","Business Cycles, Volatility and Uncertainty","E3",10,4
"58","Capital Investment","G3",8,3
"59","Capital Structure","G3",11,4
"60","Capital Structure and Firm Organization","G3",9,4
"61","Capitalization of Local Amenities","R3",8,4
"62","Carbon Leakage","Q5",11,4
"63","Causes and Consequences of Unemployment: New Microeconomic Evidence and Perspectives","J6",7,3
"64","Celebrating the 30th Anniversary of the Publication of Gary Becker's Treatise on the Family","D1",5,4
"65","Challenges of Closing the Racial Wealth Gap","G2",6,3
"66","Chicago and Democracy","B2",4,3
"67","Children’s Health and Education in China","I1",11,5
"68","Climate and Energy Policy","Q5",5,4
"69","Climate Change Policy in a Risky World","Q5",6,4
"70","Communication in Experiments","C9",8,4
"71","Communication, Conscience, and Efficiency","C7",11,4
