"","session_title","session_jel_code","number_of_authors","number_of_papers"
"1","$15 Minimum Wage Policies: Early Evidence","J3",12,3
"2","2018 David Gordon Memorial Lecture","P1",1,1
"3","A Dialog on the Transformation Problem","B5",4,4
"4","Addressing Youth Unemployment: New Evidence From Field Experiments","O1, J2",16,4
"5","Advances in Big Data Research in Economics","J0, E2",13,3
"6","Advances in Contest Theory","A1",6,4
"7","Advances in International Economics","A1",12,4
"8","Advances in International Finance","A1",9,4
"9","Advances in International Trade","A1",14,4
"10","Advances in Search Theory","A1",6,4
"11","AEA Committee on Economic Education Poster Session","A2",29,19
"12","AFA Ph.D. Student Poster Session","G0",113,78
"13","African Economic Development: Regional Economic Integration","O1",8,6
"14","African Leaders, Longevity, Policies, and Impacts","O1, N0",5,4
"15","Agency and Bargaining","D8, R3",11,4
"16","Agglomeration Economies and Development","R1",8,4
"17","Aggregate Implications of Belief Heterogeneity","E3",12,4
"18","Aggregate Shocks and Investment Dynamics: Lessons From the Micro Data","E2, E3",8,4
"19","Agricultural Economics","Q1",9,4
"20","Agricultural Production, Diets and Health","I0",15,4
"21","Agricultural Productivity, With an International Perspective","O1",7,4
"22","Air Pollution, Sorting and Human Capital","Q5",8,4
"23","Analysts, News, Media and Market Sentiment","G1",9,3
"24","Analyzing Institutions and Institutional Change","B5, O0",5,5
"25","Annuity Markets and Retirement Income Security","H8, G2",11,4
"26","Asset Pricing: New Theories and Empirical Approaches","G1",10,4
"27","Asset Pricing: What We Can Learn From Derivatives","G1",9,3
"28","Asset Return Dynamics","G1",8,3
"29","Association for Comparative Economics Poster Session","P5, P0",16,15
"30","Auctions Theory and Its Applications","D4, D8",7,3
"31","Automation","J2",13,5
"32","Automation and the Workforce","O3, J2",5,4
"33","Bank and Borrower Behavior","G2",10,3
"34","Bank Competition and Supply of Credit","G2",6,3
"35","Bank Deposits","G2",11,4
"36","Banking and Institutions","G2, P2",14,4
"37","Banking and the Real Economy","G2",8,3
"38","Bargaining Theory and Experiments","C7",8,4
"39","Barriers to the Success of Female Owned Microenterprises","O1, L2",12,4
"40","Basic Income: The Past and the Present","B0, I3",4,4
"41","Behavioral and Experimental Economics Insights for Agri-environmental Challenges","Q1",12,4
"42","Behavioral Corporate Finance","G3",8,3
"43","Behavioral Economics in the Field","D1",12,4
"44","Behavioral Finance","G2, Y9",12,4
"45","Behavioral Finance:  Financial Market Anomalies and a Nobel Prize","G1",8,3
"46","Behavioral Finance: Investor Behavior","G1",9,3
"47","Behavioral Macroeconomics","E0, D7",5,4
"48","Behavioral Real Estate","D2, R3",11,4
"49","Beyond Say’s Law: Reappraising Jean-Baptiste Say’s Political Economy","B1, B3",3,3
"50","Big Data and the Cross-section of Stock Returns","G1",13,4
"51","Big Data in Time Series: Factor Models","C32, C5",8,4
"52","Bounded Rationality, Level-k Reasoning, and Cognitive Hierarchies","D12, C91",6,4
"53","Building the Good Society: Challenges and Considerations","H0, B5",5,5
"54","Bureaucrats in Developing Countries","A1",8,4
"55","Business Cycles","E3",9,3
"56","Capital Flows in the International Monetary System","F3, F4",11,4
"57","Capital Flows, Volatility, and Sovereign Debt","A1",6,3
"58","Capital Structure","G3",8,3
"59","Care, Time Use and Work","J1, B5",11,4
"60","Central Bank Communications","E5",5,3
"61","Central Banks and Macro Finance","G0",9,3
"62","CEOs and Entrepreneurs","G3",7,3
"63","Channels of Monetary Transmission","E5, G2",11,4
"64","China's National Carbon Market","Q5, Q4",6,4
"65","Chronic Underemployment? Causes and Consequences for Labor Markets and Well Being","J2",5,4
"66","Climate Change in Developing Countries","Q5",10,4
"67","Climate Change: Connecting Theory with Empirics","Q5",9,4
"68","Climate Policy and Trade","F1",7,3
"69","Closing Gender Gaps By Design: Context, Confidence, and Other Excuses","J7, C9",11,4
"70","Cohort Effects: Sources and Implications","A1, J0",12,4
"71","College Major Choice","I2",5,3
"72","Commercial Real Estate: Acquisition and Capital Flows","G3, R3",9,4
"73","Commercial Real Estate: Investment Performance","G1, R3",11,4
"74","Commercial Real Estate: Valuation","G3, G1",9,4
"75","Compensation and Agency","G3",5,3
"76","Compensation in Mutual Fund Management","G1",11,4
"77","Competition in Digital Buyer-supplier platforms","L1, L0",8,4
"78","Complexity, Planning, Sustainability, and Survival","P0, B5",6,5
"79","Confidence, Animal Spirits and Business Cycles","E3, F4",8,3
"80","Congestion and Transportation","R1",6,4
"81","Consequences of Gendered Labor Markets","B5, J7",7,4
"82","Contagion in Financial Networks","G2",10,3
"83","Contemporary Challenges: East and West","H0, B5",6,5
"84","Contract Governance","K2, L2",6,3
"85","Contracts and Incentives","G3",9,3
"86","Contracts, Coalitions, and Cooperation","C7, D7",9,4
"87","Contributed Papers in Health Economics","I1",10,3
"88","Conventional and Unconventional Fiscal Multipliers","E6, H3",10,3
"89","Corporate Disclosure and Accounting","G3",7,3
"90","Corporate Finance: Investment Behavior","G3",10,4
"91","Corporate Governance","G3",9,4
"92","Corporate Liquidity","G3",8,3
"93","Creating Socio-emotional Skills: Evidence From Developing Countries","J2, I2",11,4
"94","Credit Allocation","G2",10,4
"95","Credit Booms, Aggregate Demand, and Financial Crises","E3, G2",12,4
"96","Credit Cycles and the Role of Macro-prudential Policy","E3, G2",13,4
"97","Credit Default Swaps","G1",10,4
"98","Crime, Education, and Racial Disparities","I2, K4",9,4
"99","CSMGEP Dissertation Session","I2, J1",4,4
"100","Debt Drivers Late in the Life Cycle","I0, Z1",9,4
"101","Declining Natural Rate of Interest","E5",9,3
"102","Demand Non-homotheticities over the Business Cycle","E3, F3",8,4
"103","Democratic Crisis and the Responsibility of Economics, I","B5",6,5
"104","Democratic Crisis and the Responsibility of Economics, II","B5",5,5
"105","Demography and Development","J1",8,4
"106","Departures from Rationality in Finance","A1",9,4
"107","Designing Unemployment Insurance","J6, H2",12,4
"108","Determinants of Bank Lending","G2",10,4
"109","Developing Country Conflict","F5, I3",13,4
"110","Development Issues in South Asia","O1, Q5",11,4
"111","Dimensions of Wealth Inequality","N3",9,4
"112","Disability Insurance and Disability Discrimination","J2, J7",10,4
"113","Discrete Choice Models in Action","C25, C14",11,4
"114","Do New Forms of Organization in Health Care Enhance Efficiency or Harm Competition?","I1",14,4
"115","Domestic and International Dimensions of Innovation Spillovers","O3, F2",17,4
