"","session_title","session_jel_code","number_of_authors","number_of_papers"
"1","","",36,3
"2","(Feminist) Economic Decision Making: Marriage, Mobility, and Fertility","J6",10,4
"3","5th Annual Music Session","Y9",15,4
"4","7th Annual Economics Humor Session in Honor of Caroline Postelle Clotfelter","Y9",14,8
"5","A Discussion of Thomas Piketty's ""Capital in the 21st Century""","D3",5,4
"6","Advances in Collusion and Antitrust Policy (K2, L4)","",5,3
"7","Advances in Empirical Climate Economics (Q5, O4)","",11,4
"8","Advances in Open Macroeconomics (F3, E4)","",9,4
"9","Adverse Selection and Risk Adjustment (I1, D8)","",12,4
"10","Aggregate Demand Externalities (E6, E2)","",6,3
"11","Aggregate Implications of International Capital Flows and Offshoring","F2",9,4
"12","Altruism and Religiosity (H4, D6)","",8,3
"13","Analyzing Market Interactions with Microdata (J2, J3)","",9,4
"14","Analyzing the Dynamics of Social Networks in Developing Economies - Methods of Linking Theory to Data (O1, O3)","",6,4
"15","Are All Financial Shocks Alike? The Effects of Credit, Housing and Uncertainty Shocks (E3, E5)","",11,4
"16","Are Emerging Markets Facing a New Financial Crisis? (G1, G1)","",4,4
"17","Assessing the Effectiveness of India's Largest Public Works Program - National Rural Employment Guarantee Scheme (O1, J1)","",10,4
"18","Assessing Unconventional Monetary Policies in the United States, Europe and Japan","E5",11,4
"19","Asset Allocation Strategies","G1",14,4
"20","Asset Disposition (R3, G2)","",8,4
"21","Asset Management and Market Efficiency","G1",8,4
"22","Asset Pricing Theory","G1",7,3
"23","Asset Pricing under Heterogeneous Beliefs","G1",10,4
"24","Autos and the Business Cycle","E2",10,4
"25","Banking and Financial Markets","G2",7,5
"26","Banking, Financial Crises, and Behavioral Finance (E4, G1)","",8,4
"27","Banking, Regulation, and the Real Economy","G2",11,4
"28","Banks in International Trade (F3, F1)","",10,4
"29","Banks, Government Intervention and Deregulation (G2, E5)","",10,4
"30","Behavioral and Neuroeconomics (D8, C9)","",9,4
"31","Behavioral Economics and Energy (Q4, D1)","",12,4
"32","Behavioral Economics in the Classroom","A2",5,3
"33","Behavioral Interventions and Energy (Q4, C9)","",12,4
"34","Behavioral Political Economy","D7",8,4
"35","Behavioral Responses to Health Information (I1, H8)","",11,4
"36","Book Symposium: Foundations of Economic Evolution by Carsten Herrmann-Pillath (B4, Y8)","",5,5
"37","Business Cycles","E1",6,4
"38","Buyer-Supplier Relationships in International Trade (F1, F6)","",12,4
"39","Capital Flows and Business Cycles","E3",14,4
"40","Capital Flows, Credit and Assets Cycles, and Macroprudential and Exchange Rate Policies (F3, F4)","",13,5
"41","Causes of Health Differences","I1",11,5
"42","Central Bank Policy and CCP's (G2, E5)","",11,4
"43","CEO Incentives and Compensation","G3",9,4
"44","CEOs","G3",8,4
"45","Children and Labor Market Outcomes (J1, J2)","",5,3
"46","China and the Future of Climate Policy (Q5, O5)","",12,4
"47","Choice Theory","D8",6,4
"48","Class and the Social Provisioning Process","B5",6,5
"49","Commercial Real Estate Performance (G1, R3)","",11,4
"50","Commodity Creation as a Historical Process (P1, N8)","",6,5
"51","Communication, Guilt and Deception (D8, C9)","",7,4
"52","Compensation and Rents in the Finance Industry (J3, G2)","",10,4
"53","Competition","D4",10,5
