session_title,paper_title,author
 Contents,Foreword,[' Ben S. Bernanke ']
 Contents,Editors' Introduction,"[' William R. Johnson ', ' Kelly Markel ']"
 Richard T. Ely Lecture,"Work of the Past, Work of the Future",[' David H. Autor ']
 Big Data in the Modern Economy,The Impact of Big Data on Firm Performance: An Empirical Investigation,"[' Patrick Bajari', ' Victor Chernozhukov', ' Ali Hortaçsu ', ' Junichi Suzuki ']"
 Big Data in the Modern Economy,Big Data and Firm Dynamics,"[' Maryam Farboodi', ' Roxana Mihet', ' Thomas Philippon ', ' Laura Veldkamp ']"
 Big Data in the Modern Economy,Empirical Bayes Estimation of Treatment Effects with Many A/B Tests: An Overview,"[' Eduardo M. Azevedo', ' Alex Deng', ' José L. Montiel Olea ', ' E. Glen Weyl ']"
 The Impact of Digital Economy,Mobile Wallet and Entrepreneurial Growth,"[' Sumit Agarwal', ' Wenlan Qian', ' Bernard Y. Yeung ', ' Xin Zou ']"
 The Impact of Digital Economy,Generational Differences in Managing Personal Finances,"[' Bruce Carlin', ' Arna Olafsson ', ' Michaela Pagel ']"
 The Impact of Digital Economy,How FinTech Enters China's Credit Market,"[' Harald Hau', ' Yi Huang', ' Hongzhe Shan ', ' Zixia Sheng ']"
 Applied Machine Learning,Ensemble Methods for Causal Effects in Panel Data Settings,"[' Susan Athey', ' Mohsen Bayati', ' Guido Imbens ', ' Zhaonan Qu ']"
 Applied Machine Learning,Augmenting Pre-Analysis Plans with Machine Learning,"[' Jens Ludwig', ' Sendhil Mullainathan ', ' Jann Spiess ']"
 Applied Machine Learning,Mastering Panel Metrics: Causal Impact of Democracy on Growth,"[' Shuowen Chen', ' Victor Chernozhukov ', ' Iván Fernández-Val ']"
 Cryptocurrency Markets,Currency Substitution under Transaction Costs,"[' Linda M. Schilling ', ' Harald Uhlig ']"
 Cryptocurrency Markets,"Blockchains, Coordination, and Forks","[' Bruno Biais', ' Christophe Bisière', ' Matthieu Bouvard ', ' Catherine Casamatta ']"
 Cryptocurrency Markets,An Economist's Perspective on the Bitcoin Payment System,"[' Gur Huberman', ' Jacob D. Leshno ', ' Ciamac Moallemi ']"
 Cryptocurrency Markets,Price Discovery in Cryptocurrency Markets,"[' Igor Makarov ', ' Antoinette Schoar ']"
 Cultural Practices and Women's Lives,Does Maternal Education Decrease Female Genital Cutting?,"[' Elisabetta De Cao ', ' Giulia La Mattina ']"
 Gender in the Economics Profession I,Gender Equality and Positive Action: Evidence from UK Universities,"[' Danula K. Gamage ', ' Almudena Sevilla ']"
 Gender in the Economics Profession I,Does Simple Information Provision Lead to More Diverse Classrooms? Evidence from a Field Experiment on Undergraduate Economics,"[' Amanda Bayer', ' Syon P. Bhanot ', ' Fernando Lozano ']"
 Gender Inequality: Sources and Solutions,The Gender Socialization of Children Growing Up in Nontraditional Families,"[' Marianne Bertr', '']"
 Gender Inequality: Sources and Solutions,Child Penalties across Countries: Evidence and Explanations,"[' Henrik Kleven', ' Camille Landais', ' Johanna Posch', ' Andreas Steinhauer ', ' Josef Zweimüller ']"
 Shaping Norms,"Parental Aspirations for Children's Education: Is There a ""Girl Effect""? Experimental Evidence from Rural Ethiopia","[' Tanguy Bernard', ' Stefan Dercon', ' Kate Orkin ', ' Alemayehu Seyoum Taffesse ']"
 Shaping Norms,"Entertainment, Education, and Attitudes Toward Domestic Violence","[' Abhijit Banerjee', ' Eliana La Ferrara ', ' Victor Orozco ']"
 Shaping Norms,Changing Family Attitudes to Promote Female Employment,"[' Joshua T. Dean ', ' Seema Jayachandran ']"
 Race and Policing,"Now You See Me, Now You Don't: The Geography of Police Stops","[' Jesse J. Kalinowski', ' Matthew B. Ross ', ' Stephen L. Ross ']"
 Race and Policing,Using Shifts in Deployment and Operations to Test for Racial Bias in Police Stops,"[' John M. MacDonald ', ' Jeffrey Fagan ']"
 Race and Policing,Police Use of Force as an Extension of Arrests: Examining Disparities across Civilian and Officer Race,[' Emily K. Weisburst ']
 Race and Policing,The Introduction of Tasers and Police Use of Firearms: Evidence from the Chicago Police Department,"[' Bocar Ba ', ' Jeffrey Grogger ']"
" Disenfranchisement, Discrimination, Debt, Dignity, and Labor Markets",Disenfranchisement and Economic Inequality: Downstream Effects of Shelby County v. Holder,"[' Abhay P. Aneja ', ' Carlos F. Avenancio-León ']"
