paper_title,author,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation
A High Frequency Analysis of the Information Content of Trading Volume,Khaladdin Rzayev,The University of Edinburgh,Jan. 4 2019,7:30 AM - 6:00 PM,"Hilton Atlanta, Grand Ballroom Pre-Function North",American Finance Association,AFA Ph.D. Student Poster Session,G0,Kenneth Singleton,Stanford University
A High Frequency Analysis of the Information Content of Trading Volume,Gbenga Ibikunle,University of Edinburgh,Jan. 4 2019,7:30 AM - 6:00 PM,"Hilton Atlanta, Grand Ballroom Pre-Function North",American Finance Association,AFA Ph.D. Student Poster Session,G0,Kenneth Singleton,Stanford University
A Rationale for the Clientele Effect in Money Management,Qiaozhi Hu,Boston University,Jan. 4 2019,7:30 AM - 6:00 PM,"Hilton Atlanta, Grand Ballroom Pre-Function North",American Finance Association,AFA Ph.D. Student Poster Session,G0,Kenneth Singleton,Stanford University
A Rationale for the Clientele Effect in Money Management,Marcel Rindisbacher,Boston University,Jan. 4 2019,7:30 AM - 6:00 PM,"Hilton Atlanta, Grand Ballroom Pre-Function North",American Finance Association,AFA Ph.D. Student Poster Session,G0,Kenneth Singleton,Stanford University
A Theory of the Market Response to Macroeconomic News under Bounded Rationality,Yu Wang,Boston College,Jan. 4 2019,7:30 AM - 6:00 PM,"Hilton Atlanta, Grand Ballroom Pre-Function North",American Finance Association,AFA Ph.D. Student Poster Session,G0,Kenneth Singleton,Stanford University
"Acquisitions, Common Ownership, and the Cournot Merger Paradox",Miguel Anton,IESE Business School,Jan. 4 2019,7:30 AM - 6:00 PM,"Hilton Atlanta, Grand Ballroom Pre-Function North",American Finance Association,AFA Ph.D. Student Poster Session,G0,Kenneth Singleton,Stanford University
"Acquisitions, Common Ownership, and the Cournot Merger Paradox",José Azar,IESE Business School,Jan. 4 2019,7:30 AM - 6:00 PM,"Hilton Atlanta, Grand Ballroom Pre-Function North",American Finance Association,AFA Ph.D. Student Poster Session,G0,Kenneth Singleton,Stanford University
"Acquisitions, Common Ownership, and the Cournot Merger Paradox",Mireia Gine,University of Navarra & Wharton WRDS,Jan. 4 2019,7:30 AM - 6:00 PM,"Hilton Atlanta, Grand Ballroom Pre-Function North",American Finance Association,AFA Ph.D. Student Poster Session,G0,Kenneth Singleton,Stanford University
"Acquisitions, Common Ownership, and the Cournot Merger Paradox",Luca Xianran Lin,IESE Business School,Jan. 4 2019,7:30 AM - 6:00 PM,"Hilton Atlanta, Grand Ballroom Pre-Function North",American Finance Association,AFA Ph.D. Student Poster Session,G0,Kenneth Singleton,Stanford University
Aggregating Information for Optimal Portfolio Weights,Xiao Li,University of Arizona,Jan. 4 2019,7:30 AM - 6:00 PM,"Hilton Atlanta, Grand Ballroom Pre-Function North",American Finance Association,AFA Ph.D. Student Poster Session,G0,Kenneth Singleton,Stanford University
