paper_title,author
Simple Market Equilibria with Rationally Inattentive Consumers,Filip Matějka
Information Processing and Limited Liability,Bartosz Mackowiak
Information Choice Technologies,Christian Hellwig
Prospect Theory as Efficient Perceptual Distortion,Michael Woodford
Salience in Experimental Tests of the Endowment Effect,Pedro Bordalo
Getting at Systemic Risk via an Agent-Based Model of the Housing Market,John Geanakoplos
Capital Shortfall: A New Approach to Ranking and Regulating Systemic Risks,Viral Acharya
Privacy-Preserving Methods for Sharing Financial Risk Exposures,Emmanuel A. Abbe
Fiscal Policy and the Great Recession in the Euro Area,Günter Coenen
Fiscal Policy in a Financial Crisis: Standard Policy versus Bank Rescue Measures,Robert Kollmann
Bubbles and Total Factor Productivity,Jianjun Miao
Debt Financing in Asset Markets,Zhiguo He
Understanding Bubbly Episodes,Vasco M. Carvalho
The Safe-Asset Share,Gary Gorton
Three Principles for Market-Based Credit Regulation,Perry Mehrling
"Limited-Purpose Banking--Moving from ""Trust Me"" to ""Show Me"" Banking",Christophe Chamley
Within-City Variation in Urban Decline: The Case of Detroit,Veronica Guerrieri
Housing Booms and City Centers,Edward L. Glaeser
"Heterogeneity in Neighborhood-Level Price Growth in the United States, 1993-2009",Fernando Ferreira
"Market Prices of Risk with Diverse Beliefs, Learning, and Catastrophes",Timothy Cogley
Financial Innovation and Asset Price Volatility,Felix Kubler
International Robust Disagreement,Riccardo Colacito
"Heterogeneous Beliefs, Wealth Distribution, and Asset Markets with Risk of Default",Viktor Tsyrennikov
Estimating Sovereign Default Risk,Huixin Bi
Evolving Monetary/Fiscal Policy Mix in the United States,Francesco Bianchi
Monetary-Fiscal Policy Interactions and Indeterminacy in Postwar US Data,Saroj Bhattarai
Real Exchange Rate Adjustment in and out of the Eurozone,Martin Berka
Fiscal Consolidation in an Open Economy,Christopher J. Erceg
Managing Currency Pegs,Stephanie Schmitt-Grohé
Can Asia Overcome the IMF Stigma?,Takatoshi Ito
Capital Flow Management,Olivier Jeanne
International Liquidity in a Multipolar World,Barry Eichengreen
Follow the Money: Quantifying Domestic Effects of Foreign Bank Shocks in the Great Recession,Nicola Cetorelli
"Flight Home, Flight Abroad, and International Credit Cycles",Mariassunta Giannetti
From Financial Crisis to Great Recession: The Role of Globalized Banks,Shekhar Aiyar
International Shock Transmission after the Lehman Brothers Collapse: Evidence from Syndicated Lending,Ralph De Haas
Moving to Higher Ground: Migration Response to Natural Disasters in the Early Twentieth Century,Leah Platt Boustan
Nature versus Nurture: The Environment's Persistent Influence through the Modernization of American Agriculture,Richard Hornbeck
Adaptation to Climate Change in Preindustrial Iceland,Matthew A. Turner
Race and Gender Differences under Federal Sentencing Guidelines,Todd Sorensen
"Terrorism and Patriotism: On the Earnings of US Veterans following September 11, 2001",Alberto Dávila
The Nonlinear Relationship between Terrorism and Poverty,Walter Enders
War and Stature: Growing Up during the Nigerian Civil War,Richard Akresh
Nation Building and Economic Growth,Ellyn Creasey
The Determinants and Consequences of School Choice Errors in Kenya,Adrienne M. Lucas
"Kinship and Financial Networks, Formal Financial Access, and Risk Reduction",Cynthia Kinnan
Child Health and Conflict in Côte d'Ivoire,Camelia Minoiu
How Financial Literacy Affects Household Wealth Accumulation,Jere R. Behrman
Financial Education and Timely Decision Support: Lessons from Junior Achievement,Bruce Ian Carlin
Financial Knowledge and Financial Literacy at the Household Level,Alan L. Gustman
Effectiveness of Employer-Provided Financial Information: Hiring to Retiring,Robert L. Clark
Efficient Auctions and Interdependent Types,Dirk Bergemann
Robustly Ranking Mechanisms,Tilman Börgers
Approximation in Mechanism Design,Jason D. Hartline
Copyright Research in the Digital Age: Moving from Piracy to the Supply of New Products,Joel Waldfogel
Is Wikipedia Biased?,Shane Greenstein
Shifts in Privacy Concerns,Avi Goldfarb
New Challenges in Multihospital Kidney Exchange,Itai Ashlagi
Holdout in the Assembly of Complements: A Problem for Market Design,Scott Duke Kominers
Stability and Strategy-Proofness for Matching with Constraints: A Problem in the Japanese Medical Match and Its Solution,Yuichiro Kamada
Understanding Price Controls and Nonprice Competition with Matching Theory,John William Hatfield
After Airline Deregulation and Alfred E. Kahn,Nancy L. Rose
Dynamic Pricing of Electricity,Paul L. Joskow
Telecommunications Deregulation,Jerry A. Hausman
Government Policy for a Partially Deregulated Industry: Deregulate It Fully,Clifford Winston
Global Supply Chains and Wage Inequality,Arnaud Costinot
Sustaining Production Chains through Financial Linkages,Se-Jik Kim
Proximity and Production Fragmentation,Robert C. Johnson
Measuring the Upstreamness of Production and Trade Flows,Pol Antràs
"Trade, Labor Market Frictions, and Residual Wage Inequality across Worker Groups",Pravin Krishna
"Offshoring, Transition, and Training: Evidence from Danish Matched Worker-Firm Data",David Hummels
Liberalized Trade and Worker-Firm Matching,Carl Davidson
Exports and Within-Plant Wage Distributions: Evidence from Mexico,Judith A. Frías
Village Economic Accounts: Real and Financial Intertwined,Archawa Paweenawat
Innovation in Space,Klaus Desmet
"Ricardo's Theory of Comparative Advantage: Old Idea, New Evidence",Arnaud Costinot
Tariff Revenue and Tariff Caps,Manuel Amador
"Profits in the ""New Trade"" Approach to Trade Negotiations",Ralph Ossa
Trade Agreements and the Nature of Price Determination,Pol Antràs
On the Use of Holdout Samples for Model Selection,Frank Schorfheide
Prediction with Misspecified Models,John Geweke
Assumptions Matter: Model Uncertainty and the Deterrent Effect of Capital Punishment,Steven N. Durlauf
Heuristics and Heterogeneity in Health Insurance Exchanges: Evidence from the Massachusetts Connector,Keith Marzilli Ericson
"Health Reform, Health Insurance, and Selection: Estimating Selection into Health Insurance Using the Massachusetts Health Reform",Martin B. Hackmann
The Impact of the Massachusetts Health Care Reform on Health Care Use among Children,Sarah Miller
How Did Health Care Reform in Massachusetts Impact Insurance Premiums?,John A. Graves
The Long-Term Effects of UI Extensions on Employment,Johannes F. Schmieder
Unemployment in the Great Recession: Did the Housing Market Crisis Prevent the Unemployed from Moving to Take Jobs?,Henry S. Farber
"Contract Form, Wage Flexibility, and Employment",Thomas Lemieux
"Access to Credit by Small Businesses: How Relevant Are Race, Ethnicity, and Gender?",Elizabeth Asiedu
Coming to America: Does Having a Developed Home Country Matter for Self-Employment in the United States?,Ruth Uwaifo Oyelere
The Labor Market Impact of Mandated Employment Verification Systems,Catalina Amuedo-Dorantes
The Employment of Low-Skilled Immigrant Men in the United States,Brian Duncan
Love and Money by Parental Matchmaking: Evidence from Urban Couples in China,Fali Huang
Business Cycles and Gender Diversification: An Analysis of Establishment-Level Gender Dissimilarity,Cynthia Bansak
Birth Rates and the Vietnam Draft,Marianne P. Bitler
Identification of the Effect of Depression on Risky Sexual Behavior: Exploiting a Natural Experiment,Susan L. Averett
"Hiring, Churn, and the Business Cycle",Edward P. Lazear
Job-to-Job Flows in the Great Recession,Henry Hyatt
Recruiting Intensity during and after the Great Recession: National and Industry Evidence,Steven J. Davis
Did the Housing Price Bubble Clobber Local Labor Market Job and Worker Flows When It Burst?,John M. Abowd
"Time Use, Emotional Well-Being, and Unemployment: Evidence from Longitudinal Data",Alan B. Krueger
Retirement and Home Production: A Regression Discontinuity Approach,Elena Stancanelli
