"first_name","author","paper_title","author_affiliation","date","time","location","association","session_title","session_jel_code","session_chair","session_chair_affiliation","discussant_1","discussant_1_affiliation","discussant_2","discussant_2_affiliation","discussant_3","discussant_3_affiliation","discussant_4","discussant_4_affiliation","discussant_5","discussant_5_affiliation","firstname","total_male","total_female","prob_male","prob_female","total_names","male_75","female_75","male_95","female_95"
"Aaron","Aaron J. Sojourner","Effects of Unions in Nursing Homes","University of Minnesota","Jan 08 2012","8:00 AM","Palmer House Hilton, Salon 2","Labor & Employment Relations Association","The Outcome Effects of Unionization on Care Workers","J1","J. Ryan Lamare","University of Manchester","","","","","","","","","","","AARON",880,1,0.9988649,0.0011351,881,1,0,1,0
"Aaron","Aaron Bodoh-Creed","Approximation of Large Dynamic Games","Cornell University","Jan 06 2012","10:15 AM","Hyatt Regency, Addams","Econometric Society","Analysis and Computation of Large Games and Mechanisms","C7","Aaron Bodoh-Creed","Cornell University","Eran Shmaya","Northwestern University","Fuhito Kojima","Stanford University","Joyee Deb","New York University","Parag A. Pathak","Massachusetts Institute of Technology","","","AARON",880,1,0.9988649,0.0011351,881,1,0,1,0
"Abena","Abena Oduro","Women’s Decision-Making Role and Asset Ownership in Ghana","University of Ghana","Jan 08 2012","8:00 AM","Palmer House Hilton, Indiana Room","Union for Radical Political Economists/International Association for Feminist Economics","Asset Ownership, the Intra-Household Distribution of Wealth and Household Decision-Making in Ecuador, Ghana and India","O5","Carmen Diana Deere","University of Florida","Kathleen Beegle","World Bank","Carmen Diana Deere","University of Florida","","","","","","","ABENA",0,24,0,1,24,0,1,0,1
"Abigail","Abigail Brown","When Monitors Don't Help: The Costs of Collusion-Proof Contracts","Harvard University","Jan 06 2012","10:15 AM","Swissotel, Alpine Salon II","International Banking, Economics & Finance Association","Distortions in Financial Markets","G2","George Kaufman","Loyola University Chicago","W. Scott Frame","Federal Reserve Bank of Atlanta","Reint Gropp","European Business School","TBA TBA","TBA","","","","","ABIGAIL",0,165,0,1,165,0,1,0,1
"Abu","Abu Shonchoy","Ramadan School Holidays as a Natural Experiment: Impacts of Seasonality on School Dropout in Bangladesh","Institute of Developing Economies","Jan 07 2012","2:30 PM","Hyatt Regency, Hong Kong","Association for Economic & Development Studies in Bangladesh","Human Capital, Firm’s Hiring Policy, and Gender Issues in a Developing Economy","O1","Mahmudul Anam","York University","Tanjim Hossain","University of Toronto","Karna Basu","Hunter College, CUNY","Yasuyuki Sawada","University of Tokyo","Rajeev Dehejia","Tufts University","","","ABU",23,1,0.9583333,0.0416667,24,1,0,1,0
"Adam","Adam J. Cole","The Impact of Smoking Bans on the Earnings of Bar and Restaurant Employees: Evidence from Tax Data","U.S. Department of the Treasury","Jan 06 2012","8:00 AM","Hyatt Regency, Skyway 272","Society of Government Economists","Behavioral Responses to Government Programs","H8","Nicholas Turner","U.S. Department of the Treasury","Stephanie Cellini","George Washington University","Tracy L. Regan","University of Arizona","Sara LaLumia","Williams College","Scott J. Adams","University of Wisconsin-Milwaukee","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam Seth Liltwin","Ducks and Decoys: Revisiting the Exit-Voice-Loyalty Framework in Assessing the Impact of a Workplace Dispute Resolution System","Johns Hopkins","Jan 08 2012","1:00 PM","Palmer House Hilton, Salon 2","Labor & Employment Relations Association","LERA Refereed Papers Session I","J5","Howard Stanger","Canisius College","Gregory M. Saltzman","Albion College","","","","","","","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam Reichenberger","Are Black and Hispanic Households More Likely to Default? Evidence from the Recent Crisis","Kansas State University","Jan 06 2012","10:15 AM","Swissotel, St. Gallen 1","American Real Estate & Urban Economic Association","Low Income Mortgage Performance","G1","Amy Cutts","Equifax Company","Claudia AyannaSharygin","New York University","Avis Devine","University of Cincinnati","Nathan George","University of California-Berkeley","Samuel Dastrup","New York University","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam Zawadowski","Positioning in the CDS Market: Evidence from the DTCC Data","Boston University","Jan 08 2012","10:15 AM","Hyatt Regency, Buckingham","Econometric Society","Bonds and CDS Markets","G1","Pierre Collin-Dufresne","Columbia University","Michael Fleming","Federal Reserve Bank of New York","Rene Stulz","Ohio State University","Torben Andersen","Northwestern University","","","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam M. Rosen","An Instrumental Variable Model of Multiple Discrete Choice","University College London","Jan 06 2012","10:15 AM","Hyatt Regency, McCormick","Econometric Society","Endogeneity and Instrumental Variables","C2","Whitney Newey","Massachusetts Institute of Technology","Ariel Pakes","Harvard University","Steven Berry","Yale University","Jack Porter","University of Wisconsin","Guido Imbens","Harvard University","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
