session_title,paper_title,author
 Richard T. Ely Lecture,Behavioral Economics and Public Policy: A Pragmatic Perspective,[' Raj Chetty ']
 A Discussion of Thomas Piketty's Capital in the Twenty-First Century,Capital and Wealth in the Twenty-First Century,[' David N. Weil ']
 A Discussion of Thomas Piketty's Capital in the Twenty-First Century,Capital Taxation in the Twenty-First Century,"[' Alan J. Auerbach ', ' Kevin Hassett ']"
 A Discussion of Thomas Piketty's Capital in the Twenty-First Century,"Yes, r > g. So What?",[' N. Gregory Mankiw ']
 A Discussion of Thomas Piketty's Capital in the Twenty-First Century,About Capital in the Twenty-First Century,[' Thomas Piketty ']
 The Economics of Secular Stagnation,Secular Stagnation: A Supply-Side View,[' Robert J. Gordon ']
 The Economics of Secular Stagnation,Demand Side Secular Stagnation,[' Lawrence H. Summers ']
 The Economics of Secular Stagnation,Secular Stagnation: The Long View,[' Barry Eichengreen ']
 In Honor of Gary S. Becker—Model Economist,Gary Becker as Teacher,[' Kevin M. Murphy ']
 In Honor of Gary S. Becker—Model Economist,Gary Becker: Model Economic Scientist,[' James J. Heckman ']
 In Honor of Gary S. Becker—Model Economist,Gary Becker's Impact on Economics and Policy,[' Edward P. Lazear ']
 Reflections on New Growth Theory,Human Capital and Growth,[' Robert E. Lucas Jr. ']
 Reflections on New Growth Theory,Mathiness in the Theory of Economic Growth,[' Paul M. Romer ']
 Reflections on New Growth Theory,Lessons from Schumpeterian Growth Theory,"[' Philippe Aghion', ' Ufuk Akcigit ', ' Peter Howitt ']"
 Reflections on New Growth Theory,Globalization and Growth,"[' Gene M. Grossman ', ' Elhanan Helpman ']"
 Health Insurance Marketplaces: New Developments and Their Implications,Messaging and the Mandate: The Impact of Consumer Experience on Health Insurance Enrollment through Exchanges,"[' Natalie Cox', ' Benjamin Handel', ' Jonathan Kolstad ', ' Neale Mahoney ']"
 Health Insurance Marketplaces: New Developments and Their Implications,Narrow Networks on the Health Insurance Exchanges: What Do They Look Like and How Do They Affect Pricing? A Case Study of Texas,"[' Leemore Dafny', ' Igal Hendel ', ' Nathan Wilson ']"
 Health Insurance Marketplaces: New Developments and Their Implications,Measuring Consumer Valuation of Limited Provider Networks,"[' Keith Marzilli Ericson ', ' Amanda Starc ']"
 Health Insurance Marketplaces: New Developments and Their Implications,The Impact of Market Size and Composition on Health Insurance Premiums: Evidence from the First Year of the Affordable Care Act,"[' Michael J. Dickstein', ' Mark Duggan', ' Joe Orsini ', ' Pietro Tebaldi ']"
 Social Insurance Programs and the Labor Market,"The Effect of Unemployment Benefits on the Duration of Unemployment Insurance Receipt: New Evidence from a Regression Kink Design in Missouri, 2003-2013","[' David Card', ' Andrew Johnston', ' Pauline Leung', ' Alexandre Mas ', ' Zhuan Pei ']"
 Social Insurance Programs and the Labor Market,Veterans' Labor Force Participation: What Role Does the VA's Disability Compensation Program Play?,"[' Courtney Coile', ' Mark Duggan ', ' Audrey Guo ']"
 Social Insurance Programs and the Labor Market,"Earnings, Disposable Income, and Consumption of Allowed and Rejected Disability Insurance Applicants","[' Andreas Ravndal Kostøl ', ' Magne Mogstad ']"
 Social Insurance Programs and the Labor Market,Recall Expectations and Duration Dependence,"[' Arash Nekoei ', ' Andrea Weber ']"
 Impacts of the Great Recession on Low-Income Households,The Great Recession and Credit Trends across Income Groups,"[' Gene Amromin ', ' Leslie McGranahan ']"
 Impacts of the Great Recession on Low-Income Households,Heterogeneity in the Impact of Economic Cycles and the Great Recession: Effects within and across the Income Distribution,"[' Marianne Bitler ', ' Hilary Hoynes ']"
 Impacts of the Great Recession on Low-Income Households,Changes in Safety Net Use during the Great Recession,"[' Patricia M. Anderson', ' Kristin F. Butcher ', ' Diane Whitmore Schanzenbach ']"
 How Did the Safety Net Perform during the Great Recession,"Living Arrangements, Doubling Up, and the Great Recession: Was This Time Different?","[' Marianne Bitler ', ' Hilary Hoynes ']"
 How Did the Safety Net Perform during the Great Recession,The Effect of Extended Unemployment Insurance Benefits: Evidence from the 2012-2013 Phase-Out,"[' Henry S. Farber', ' Jesse Rothstein ', ' Robert G. Valletta ']"
 How Did the Safety Net Perform during the Great Recession,Disability Insurance and the Great Recession,"[' Nicole Maestas', ' Kathleen J. Mullen ', ' Alexander Str', '']"
 Explaining the Energy Paradox,Deconstructing the Energy-Efficiency Gap: Conceptual Frameworks and Evidence,"[' Todd Gerarden', ' Richard G. Newell ', ' Robert N. Stavins ']"
 Explaining the Energy Paradox,Tagging and Targeting of Energy Efficiency Subsidies,"[' Hunt Allcott', ' Christopher Knittel ', ' Dmitry Taubinsky ']"
 Explaining the Energy Paradox,Limited Attention and the Residential Energy Efficiency Gap,"[' Karen Palmer ', ' Margaret Walls ']"
 Explaining the Energy Paradox,Individual Time Preferences and Energy Efficiency,"[' Richard G. Newell ', ' Juha Siikamäki ']"
 Explaining the Energy Paradox,Are the Non-monetary Costs of Energy Efficiency Investments Large? Understanding Low Take-Up of a Free Energy Efficiency Program,"[' Meredith Fowlie', ' Michael Greenstone ', ' Catherine Wolfram ']"
 Immigration Policy and Crime,Immigration Enforcement and Crime,[' Paolo Pinotti ']
 Immigration Policy and Crime,Effects of Immigrant Legalization on Crime,[' Scott R. Baker ']
 Immigration Policy and Crime,The Criminal Justice Response to Policy Interventions: Evidence from Immigration Reform,"[' Sarah Bohn', ' Matthew Freedman ', ' Emily Owens ']"
 Immigration Policy and Crime,The Long-Run Effect of Mexican Immigration on Crime in US Cities: Evidence from Variation in Mexican Fertility Rates,[' Aaron Chalfin ']
 High Stakes Energy and Environmental Problems in Developing Countries,"Growth, Pollution, and Life Expectancy: China from 1991-2012","[' Avraham Ebenstein', ' Maoyong Fan', ' Michael Greenstone', ' Guojun He', ' Peng Yin ', ' Maigeng Zhou ']"
 High Stakes Energy and Environmental Problems in Developing Countries,"Satellites, Self-Reports, and Submersion: Exposure to Floods in Bangladesh","[' Raymond Guiteras', ' Amir Jina ', ' A. Mushfiq Mobarak ']"
 High Stakes Energy and Environmental Problems in Developing Countries,Pay as You Go: Prepaid Metering and Electricity Expenditures in South Africa,"[' B. Kelsey Jack ', ' Grant Smith ']"
 High Stakes Energy and Environmental Problems in Developing Countries,Moving Up the Energy Ladder: The Effect of an Increase in Economic Well-Being on the Fuel Consumption Choices of the Poor in India,"[' Rema Hanna ', ' Paulina Oliva ']"
 Advances in Empirical Climate Economics,"Convergence in Adaptation to Climate Change: Evidence from High Temperatures and Mortality, 1900-2004","[' Alan Barreca', ' Karen Clay', ' Olivier Deschênes', ' Michael Greenstone ', ' Joseph S. Shapiro ']"
 Advances in Empirical Climate Economics,"Geography, Depreciation, and Growth","[' Solomon M. Hsiang ', ' Amir S. Jina ']"
 Advances in Empirical Climate Economics,Tropical Economics,"[' Solomon M. Hsiang ', ' Kyle C. Meng ']"
 Advances in Empirical Climate Economics,Federal Crop Insurance and the Disincentive to Adapt to Extreme Heat,"[' Francis Annan ', ' Wolfram Schlenker ']"
 Twenty Years of Present Bias,Why Don't Present-Biased Agents Make Commitments?,[' David Laibson ']
 Twenty Years of Present Bias,Present Bias: Lessons Learned and to Be Learned,"["" Ted O'Donoghue "", ' Matthew Rabin ']"
 Twenty Years of Present Bias,Judging Experimental Evidence on Dynamic Inconsistency,[' Charles Sprenger ']
 Experiments with Firms in Developing Countries,"Loyalty, Exit, and Enforcement: Evidence from a Kenya Dairy Cooperative","[' Lorenzo Casaburi ', ' Rocco Macchiavello ']"
 Experiments with Firms in Developing Countries,Ex Post (In) Efficient Negotiation and Breakdown of Trade,"[' Rajkamal Iyer ', ' Antoinette Schoar ']"
 Experiments with Firms in Developing Countries,The Catch-22 of External Validity in the Context of Constraints to Firm Growth,"[' Greg Fischer ', ' Dean Karlan ']"
 Experiments with Firms in Developing Countries,The Market for Training Services: A Demand Experiment with Bangladeshi Garment Factories,"[' Rocco Macchiavello', ' Atonu Rabbani ', ' Christopher Woodruff ']"
" Banking, Financial Crises, and Behavioral Finance","Lending Booms, Smart Bankers, and Financial Crises",[' Anjan Thakor ']
" Banking, Financial Crises, and Behavioral Finance",Neglected Risks: The Psychology of Financial Crises,"[' Nicola Gennaioli', ' Andrei Shleifer ', ' Robert Vishny ']"
" Banking, Financial Crises, and Behavioral Finance","Do Strict Capital Requirements Raise the Cost of Capital? Bank Regulation, Capital Structure, and the Low-Risk Anomaly","[' Malcolm Baker ', ' Jeffrey Wurgler ']"
" Banking, Financial Crises, and Behavioral Finance",Does a Bank's History Affect Its Risk-Taking?,"[' Christa H. S. Bouwman ', ' Ulrike Malmendier ']"
" Culture, Trust, and Productivity","Why Do Firms Have ""Purpose""? The Firm's Role as a Carrier of Identity and Reputation","[' Rebecca Henderson ', ' Eric Van den Steen ']"
" Culture, Trust, and Productivity",Organizational Culture and Performance,"[' Elizabeth A. Martinez', ' Nancy Beaulieu', ' Robert Gibbons', ' Peter Pronovost ', ' Thomas Wang ']"
" Culture, Trust, and Productivity","Corporate Culture, Societal Culture, and Institutions","[' Luigi Guiso', ' Paola Sapienza ', ' Luigi Zingales ']"
" Culture, Trust, and Productivity",Understanding Ethnic Identity in Africa: Evidence from the Implicit Association Test (IAT),"[' Sara Lowes', ' Nathan Nunn', ' James A. Robinson ', ' Jonathan Weigel ']"
 Moral Values and Economic Behavior,Religion and Innovation,"[' Rol', 'Bénabou', ' Davide Ticchi ', ' Andrea Vindigni ']"
 Moral Values and Economic Behavior,Measuring Vote-Selling: Field Evidence from the Philippines,"[' Allen Hicken', ' Stephen Leider', ' Nico Ravanilla ', ' Dean Yang ']"
 Moral Values and Economic Behavior,"More Money, More Problems? Can High Pay Be Coercive and Repugnant?","[' Sandro Ambuehl', ' Muriel Niederle ', ' Alvin E. Roth ']"
 Moral Values and Economic Behavior,Sacred Values? The Effect of Information on Attitudes toward Payments for Human Organs,"[' Julio J. Elias', ' Nicola Lacetera ', ' Mario Macis ']"
 Behavioral and Neuroeconomics,Deciding When to Quit: Reference-Dependence over Slot Machine Outcomes,"[' Jaimie W. Lien ', ' Jie Zheng ']"
 Behavioral and Neuroeconomics,Testing for the Disposition Effect on Optimal Stopping Decisions,[' Jacopo Magnani ']
 Behavioral and Neuroeconomics,Loss Aversion in Post-Sale Purchases of Consumer Products and Their Substitutes,"[' Debajyoti Ray', ' Matthew Shum ', ' Colin F. Camerer ']"
 Behavioral and Neuroeconomics,Bankruptcy Rates among NFL Players with Short-Lived Income Spikes,"[' Kyle Carlson', ' Joshua Kim', ' Annamaria Lusardi ', ' Colin F. Camerer ']"
 Behavioral Economics in the Classroom,Principles of (Behavioral) Economics,"[' David Laibson ', ' John A. List ']"
 Behavioral Economics in the Classroom,Teaching a Behavioral Economics Elective: Highlighting the Science of Economics,"["" Ted O'Donoghue ""]"
 Behavioral Economics in the Classroom,Behavioral Economics and Public Policy 102: Beyond Nudging,"[' Saurabh Bhargava ', ' George Loewenstein ']"
 Social Behavior in the Field,Standing United or Falling Divided? High Stakes Bargaining in a TV Game Show,"[' Dennie van Dolder', ' Martijn J. van den Assem', ' Colin F. Camerer ', ' Richard H. Thaler ']"
 Social Behavior in the Field,Cooperation in a Dynamic Fishing Game: A Framed Field Experiment,"[' Charles N. Noussair', ' Daan van Soest ', ' Jan Stoop ']"
 Social Behavior in the Field,I Take Care of My Own: A Field Study on How Leadership Handles Conflict between Individual and Collective Incentives,"[' Romain Gauriot ', ' Lionel Page ']"
 Retirement Savings and Household Decisions,Liquidity in Retirement Savings Systems: An International Comparison,"[' John Beshears', ' James J. Choi', ' Joshua Hurwitz', ' David Laibson ', ' Brigitte C. Madrian ']"
 Retirement Savings and Household Decisions,The Composition Effect of Consumption around Retirement: Evidence from Singapore,"[' Sumit Agarwal', ' Jessica Pan ', ' Wenlan Qian ']"
 Retirement Savings and Household Decisions,Defined Contribution Pension Plans: Mutual Fund Asset Allocation Changes,"[' Clemens Sialm', ' Laura Starks ', ' Hanjiang Zhang ']"
 Retirement Savings and Household Decisions,The Retirement Consumption Puzzle in China,"[' Hongbin Li', ' Xinzheng Shi ', ' Binzhen Wu ']"
" Organization, Management, and Economic Growth",Do Private Equity Owned Firms Have Better Management Practices?,"[' Nicholas Bloom', ' Raffaella Sadun ', ' John Van Reenen ']"
" Organization, Management, and Economic Growth",Formal Measures in Informal Management: Can a Balanced Scorecard Change a Culture?,"[' Robert Gibbons ', ' Robert S. Kaplan ']"
" Organization, Management, and Economic Growth",The Real Effects of Relational Contracts,"[' Steven Blader', ' Claudine Gartenberg', ' Rebecca Henderson ', ' Andrea Prat ']"
" Organization, Management, and Economic Growth",The Impact of Ethnic Diversity in Bureaucracies: Evidence from the Nigerian Civil Service,"[' Imran Rasul ', ' Daniel Rogger ']"
 External Validity of Field Experiments,Do Natural Field Experiments Afford Researchers More or Less Control Than Laboratory Experiments?,"[' Omar Al-Ubaydli ', ' John A. List ']"
 External Validity of Field Experiments,Heterogeneous Treatment Effects in Impact Evaluation,[' Eva Vivalt ']
 External Validity of Field Experiments,Learning from Experiments When Context Matters,"[' Lant Pritchett ', ' Justin Sandefur ']"
 Machine Learning Methods in Economics and Econometrics,A Measure of Robustness to Misspecification,"[' Susan Athey ', ' Guido Imbens ']"
 Machine Learning Methods in Economics and Econometrics,Machine Learning Methods for Demand Estimation,"[' Patrick Bajari', ' Denis Nekipelov', ' Stephen P. Ryan ', ' Miaoyu Yang ']"
 Machine Learning Methods in Economics and Econometrics,Post-Selection and Post-Regularization Inference in Linear Models with Many Controls and Instruments,"[' Victor Chernozhukov', ' Christian Hansen ', ' Martin Spindler ']"
 Machine Learning Methods in Economics and Econometrics,Prediction Policy Problems,"[' Jon Kleinberg', ' Jens Ludwig', ' Sendhil Mullainathan ', ' Ziad Obermeyer ']"
 Issues in Higher Education,Can Online Learning Bend the Higher Education Cost Curve?,"[' David J. Deming', ' Claudia Goldin', ' Lawrence F. Katz ', ' Noam Yuchtman ']"
 Issues in Higher Education,Evaluating Econometric Evaluations of Post-Secondary Aid,"[' Josh Angrist', ' David Autor', ' Sally Hudson ', ' Amanda Pallais ']"
 Issues in Higher Education,Connecting Student Loans to Labor Market Outcomes: Policy Lessons from Chile,"[' Harald Beyer', ' Justine Hastings', ' Christopher Neilson ', ' Seth Zimmerman ']"
 Issues in Higher Education,What High-Achieving Low-Income Students Know about College,"[' Caroline M. Hoxby ', ' Sarah Turner ']"
 Measuring the Multinational Economy,Factoryless Goods Producing Firms,"[' Andrew B. Bernard ', ' Teresa C. Fort ']"
 Measuring the Multinational Economy,How Well Is US Intrafirm Trade Measured?,[' Kim J. Ruhl ']
 Measuring the Multinational Economy,Multinational Production: Data and Stylized Facts,"[' Natalia Ramondo', ' Andrés Rodríguez-Clare ', ' Felix Tintelnot ']"
 International Trade and Development,Markup and Cost Dispersion across Firms: Direct Evidence from Producer Surveys in Pakistan,"[' David Atkin', ' Azam Chaudhry', ' Shamyla Chaudhry', ' Amit K. Khandelwal ', ' Eric Verhoogen ']"
 International Trade and Development,Informal Employment in a Growing and Globalizing Low-Income Country,"[' Brian McCaig ', ' Nina Pavcnik ']"
 International Trade and Development,Trade Liberalization and the Skill Premium: A Local Labor Markets Approach,"[' Rafael Dix-Carneiro ', ' Brian K. Kovak ']"
 History and the City,History and the Sizes of Cities,"[' Hoyt Bleakley ', ' Jeffrey Lin ']"
 History and the City,Declining Mortality Inequality within Cities during the Health Transition,"[' Dora L. Costa ', ' Matthew E. Kahn ']"
 History and the City,Killer Cities: Past and Present,"[' W. Walker Hanlon ', ' Yuan Tian ']"
" Migration, Income, and Economic Policy",The Impact of Temporary Protected Status on Immigrants' Labor Market Outcomes,"[' Pia M. Orrenius ', ' Madeline Zavodny ']"
" Migration, Income, and Economic Policy",The Labor Market Impacts of Forced Migration,"[' Isabel Ruiz ', ' Carlos Vargas-Silva ']"
" Migration, Income, and Economic Policy",The Impact of Economic Freedom on the Black/White Income Gap,"[' Gary A. Hoover', ' Ryan A. Compton ', ' Daniel C. Giedeman ']"
" Migration, Income, and Economic Policy","Income Inequality, Capitalism, and Ethno-linguistic Fractionalization","[' Jan-Egbert Sturm ', ' Jakob De Haan ']"
" Education, Race, and Underrepresented Minorities",Falling through the Cracks? Grade Retention and School Dropout among Children of Likely Unauthorized Immigrants,"[' Catalina Amuedo-Dorantes ', ' Mary J. Lopez ']"
" Education, Race, and Underrepresented Minorities",Academic Undermatching of High-Achieving Minority Students: Evidence from Race-Neutral and Holistic Admissions Policies,"[' Sandra E. Black', ' Kalena E. Cortes ', ' Jane Arnold Lincove ']"
" Education, Race, and Underrepresented Minorities","Household Asset Allocation, Offspring Education, and the Sandwich Generation",[' Vicki L. Bogan ']
" Education, Race, and Underrepresented Minorities",An A for Effort,[' Omari H. Swinton ']
 The Economics of Gender,Trust and Reciprocity between Spouses in India,[' Carolina Castilla ']
 The Economics of Gender,Can Alcohol Prohibition Reduce Violence against Women?,"[' Dara Lee Luca', ' Emily Owens ', ' Gunjan Sharma ']"
 The Economics of Gender,The Labor Supply Effects of Delayed First Birth,[' Jane Leber Herr ']
 The Economics of Gender,Child Gender and Parental Inputs: No More Son Preference in Korea?,"[' Eleanor Jawon Choi ', ' Jisoo Hwang ']"
 International and Macro,Demand Shocks and Open Economy Puzzles,"[' Yan Bai ', ' José-Víctor Ríos-Rull ']"
 International and Macro,Macroeconomic Uncertainty Indices Based on Nowcast and Forecast Error Distributions,"[' Barbara Rossi ', ' Tatevik Sekhposyan ']"
 International and Macro,FOMC Forward Guidance and Investor Beliefs,[' Arunima Sinha ']
 International and Macro,(Indirect) Input Linkages,"[' Marcela Eslava', ' Ana Cecília Fieler ', ' Daniel Yi Xu ']"
 Proceedings,"Minutes of the Annual Business Meeting: Boston, MA, January 3, 2015",[' Peter L. Rousseau ']
 Proceedings,Report of the Secretary,[' Peter L. Rousseau ']
 Proceedings,Report of the Treasurer,[' Peter L. Rousseau ']
 Proceedings,American Economic Association Universal Academic Questionnaire Summary Statistics,"[' Charles E. Scott ', ' John J. Siegfried ']"
