"first_name","author","paper_title","author_affiliation","date","time","location","association","session_title","session_jel_code","session_chair","session_chair_affiliation","discussant_1","discussant_1_affiliation","discussant_2","discussant_2_affiliation","discussant_3","discussant_3_affiliation","discussant_4","discussant_4_affiliation","discussant_5","discussant_5_affiliation","firstname","total_male","total_female","prob_male","prob_female","total_names","male_75","female_75","male_95","female_95"
"Aaron","Aaron Roth","Mechanism Design in Large Games: Incentives and Privacy","University of Pennsylvania","Jan 05 2014","8:00 AM","Pennsylvania Convention Center, 204-C","American Economic Association","Frontiers of Market Design","D4","Alvin Roth","Stanford University","Michael Ostrovsky","Stanford University","James Andreoni","University of California-San Diego","Ilya Segal","Stanford University","Larry Samuelson","Yale University","","","AARON",880,1,0.9988649,0.0011351,881,1,0,1,0
"Abdul","Abdul Munasib","Did the Stand Your Ground Law Make Floridians More Trigger Happy?","Oklahoma State University","Jan 05 2014","10:15 AM","Loews Philadelphia Hotel, Washington C","American Real Estate & Urban Economic Association","Urban Public Policy","R5","Leah Brooks","Federal Reserve Board","Erdal Tekin","Georgia State University","John Anderson","University of Nebraska-Lincoln","Zackary Hawley","Texas Christian University","Justin Gallagher","Case Western University","","","ABDUL",110,1,0.990991,0.009009,111,1,0,1,0
"Abdullah","Abdullah Yavas","On Optimal Acceptance Strategies in Real Estate","University of Wisconsin-Madison","Jan 05 2014","10:15 AM","Loews Philadelphia Hotel, Washington B","American Real Estate & Urban Economic Association","Real Estate Market Microstructure","R4","Joseph Gyourko","University of Pennsylvania","Christopher Mayer","Columbia University","Cindy Soo","University of Michigan","Andrew Paciorek","Federal Reserve Board of Governors","Andrew Haughwout","Federal Reserve Bank of New York","","","ABDULLAH",26,0,1,0,26,1,0,1,0
"Abeer","Abeer Rashdan","Middle Class and Pro-Poor Growth in Egypt The Missing Connection","Cairo University","Jan 03 2014","2:30 PM","Pennsylvania Convention Center, 105-A","Middle East Economic Association","Development Issues in Some MENA Countries","O1","Gouda Abdelkhalek","Cairo University","Ibrahim Elbadawy","Dubai Economic Council","Mahmoud Al-Iriani","Dubai Economic Council","Karima Korayem","Cairo University","A. Suut Dogruel","Marmara University","Ahmet Faruk Aysan","Central Bank of the Republic of Turkey","ABEER",0,2,0,1,2,0,1,0,1
"Abigail","Abigail Brown","Effect of Market Structure and the Regulatory Franchise in Reputation Dependent Industries","US Government Accountability Office","Jan 03 2014","12:30 PM","Loews Philadelphia Hotel, Commonwealth Hall A2","International Banking, Economics & Finance Association","Market Pricing and Credit Spreads","G1","Anastasios Malliaris","Loyola University","Jose Berrospide","Federal Reserve Board","Chen Zhou","De Nederlandsche Bank","Hector Perez-Saiz","Bank of Canada","Eiichiro Kazumori","University at Buffalo","","","ABIGAIL",0,165,0,1,165,0,1,0,1
"Abigail","Abigail Barr","Community-based monitoring of schools. Evidence from Uganda","University of Nottingham","Jan 05 2014","1:00 PM","Philadelphia Marriott, Grand Ballroom - Salon B","American Economic Association","Accountability, Collective Action, and Information in Economic Development","O1","Karla Hoff","World Bank","Karla Hoff","World Bank","Andrew Zeitlin","Georgetown University","","","","","","","ABIGAIL",0,165,0,1,165,0,1,0,1
"Abigail","Abigail Adams","Prices versus Preferences: Taste Change and Tobacco Consumption","University of Oxford","Jan 03 2014","10:15 AM","Pennsylvania Convention Center, 107-B","American Economic Association","Revealed Preference Theory and Applications: Recent Developments","D1","Bram De Rock","Université libre de Bruxelles","Arthur Lewbel","Boston College","Abi Adams","Oxford University","Thomas Demuynck","University of Leuven","Laurens Cherchye","University of Leuven","","","ABIGAIL",0,165,0,1,165,0,1,0,1
"Abu","Abu Zafar M. Shahriar","Are Women â€œNaturallyâ€ Better Credit Risks in Microcredit? Evidence from Field Experiments in Patriarchal and Matrilineal Societies in Bangladesh","Monash University","Jan 03 2014","8:00 AM","Philadelphia Marriott, Grand Ballroom - Salon L","American Economic Association","Gender Differences","J1","Joyce Jacobsen","Wesleyan University","","","","","","","","","","","ABU",23,1,0.9583333,0.0416667,24,1,0,1,0
"Adam","Adam Zawadowski","Synthetic or Real? The Equilibrium Effects of Credit Default Swaps on Bond Markets","Boston University","Jan 03 2014","8:00 AM","Loews Philadelphia Hotel, Regency Ballroom A","American Finance Association","Credit Risk I","G1","Ilya Strebulaev","Stanford University","","","","","","","","","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam Cole","Patterns and Persistence of Cash and Non-Cash Giving","US Department of the Treasury","Jan 04 2014","12:30 PM","Philadelphia Marriott, Meeting Room 310","Association for the Study of Generosity in Economics","Charitable Giving and Tax Policy","H2","C. Steuerle","Urban Institute","Bariş Yörük","State University of New York-Albany","C. Eugene Steuerle","Urban Institute","Jon Bakija","Williams College","Joseph Rosenberg","Urban Institute","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam Bee","An Evaluation of Retirement Income in the CPS ASEC Using IRS Form 1099-R Microdata","US Census Bureau","Jan 04 2014","8:00 AM","Pennsylvania Convention Center, 106-B","Society of Government Economists","Recent Advances in Empirical Research Using Administrative Data","D1","Charles Hokayem","US Census Bureau","","","","","","","","","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
