paper_title,author
Glass-Steagall: A Requiem,Robert E. Lucas Jr.
Shifting Mandates: The Federal Reserve's First Centennial,Carmen M. Reinhart
The Most Dangerous Idea in Federal Reserve History: Monetary Policy Doesn't Matter,Christina D. Romer
Not Just the Great Contraction: Friedman and Schwartz's A Monetary History of the United States 1867 to 1960,Michael D. Bordo
The Missing Transmission Mechanism in the Monetary Explanation of the Great Depression,Christina D. Romer
Shadowy Banks and Financial Contagion during the Great Depression: A Retrospective on Friedman and Schwartz,Kris James Mitchener
"Married to Intolerance: Attitudes toward Intermarriage in Germany, 1900-2006",Nico Voigtländer
The Transmission of Democracy: From the Village to the Nation-State,Paola Giuliano
The Persistence of Inferior Cultural-Institutional Conventions,Marianna Belloc
Cyclical Variation in Labor Hours and Productivity Using the ATUS,Michael C. Burda
Comparisons of Weekly Hours over the Past Century and the Importance of Work-Sharing Policies in the 1930s,Todd C. Neumann
The Life-Cycle Profile of Time Spent on Job Search,Mark Aguiar
Growth Forecast Errors and Fiscal Multipliers,Olivier J. Blanchard
Using State Pension Shocks to Estimate Fiscal Multipliers since the Great Recession,Daniel Shoag
How Much Would US Style Fiscal Integration Buffer European Unemployment and Income Shocks? (A Comparative Empirical Analysis),James Feyrer
Are Government Spending Multipliers Greater during Periods of Slack? Evidence from Twentieth-Century Historical Data,Michael T. Owyang
"The Mystique Surrounding the Central Bank's Balance Sheet, Applied to the European Crisis",Ricardo Reis
Output Spillovers from Fiscal Policy,Alan J. Auerbach
Forecasting the Recovery from the Great Recession: Is This Time Different?,Kathryn M. E. Dominguez
Extreme Wage Inequality: Pay at the Very Top,Brian D. Bell
"Family, Education, and Sources of Wealth among the Richest Americans, 1982-2012",Steven N. Kaplan
Bailouts and the Optimal Taxation of Bonus Pay,Timothy Besley
"Income Inequality, Mobility, and Turnover at the Top in the US, 1987-2010",Gerald Auten
Deconstructing Income and Income Inequality Measures: A Crosswalk from Market Income to Comprehensive Income,Philip Armour
Consumption and Income Inequality and the Great Recession,Bruce D. Meyer
Measuring the Trends in Inequality of Individuals and Families: Income and Consumption,Jonathan D. Fisher
The Scale and Selectivity of Foreign-Born PhD Recipients in the US,Jeffrey Grogger
Immigration and Employer Transitions for STEM Workers,Sari Pekkala Kerr
Why Do Programmers Earn More in Houston Than Hyderabad? Evidence from Randomized Processing of US Visas,Michael A. Clemens
Pathways to Adjustment: The Case of Information Technology Workers,John Bound
A Trapped-Factors Model of Innovation,Nicholas Bloom
Sources of Wage Inequality,Anders Akerman
The Geography of Trade and Technology Shocks in the United States,David H. Autor
Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,Jens Ludwig
Achieving Escape Velocity: Neighborhood and School Interventions to Reduce Persistent Inequality,Roland G. Fryer Jr.
Place Based Policies with Unemployment,Patrick Kline
"Career, Family, and the Well-Being of College-Educated Women",Marianne Bertrand
Female Labor Supply: Why Is the United States Falling Behind?,Francine D. Blau
Shocking Labor Supply: A Reassessment of the Role of World War II on Women's Labor Supply,Claudia Goldin
