"first_name","author","paper_title","author_affiliation","date","time","location","association","session_title","session_jel_code","session_chair","session_chair_affiliation","discussant_1","discussant_1_affiliation","discussant_2","discussant_2_affiliation","discussant_3","discussant_3_affiliation","discussant_4","discussant_4_affiliation","discussant_5","discussant_5_affiliation","firstname","total_male","total_female","prob_male","prob_female","total_names","male_75","female_75","male_95","female_95"
"Aaron","Aaron J. Sojourner","Using Machine Learning to Translate Pre-Hire Work History into Predictors of Performance and Retention","University of Minnesota","Jan. 4 2019","2:30 PM - 4:30 PM","Hyatt Regency Atlanta, Hanover B","Labor and Employment Relations Association","Improving Selection of Job Applicants: Harnessing Resume, Interview and Recommender Signals for K12 Teaching","M1","Barbara Biasi","Yale University","Jen Brown","University of Utah","Peter Cappelli","University of Pennsylvania","","","","","","","AARON",880,1,0.9988649,0.0011351,881,1,0,1,0
"Abby","Abby Pai","On the Stock Market Variance-Return or Price Relations: A Tale of Two Variances","University of Cincinnati","Jan. 4 2019","7:30 AM - 6:00 PM","Hilton Atlanta, Grand Ballroom Pre-Function North","American Finance Association","AFA Ph.D. Student Poster Session","G0","Kenneth Singleton","Stanford University","","","","","","","","","","","ABBY",7,208,0.0325581,0.9674419,215,0,1,0,1
"Abdul","Abdul Munasib","Measuring United States International Trade in Manufacturing Services Using U.S. Customs Records","U.S. Bureau of Economic Analysis","Jan. 5 2019","2:30 PM - 4:30 PM","Hilton Atlanta, 314","Society of Government Economists","Innovative Approaches to Measuring Trends in Domestic and Global Output and Trade","E0, F0","Susan Fleck","U.S. Bureau of Labor Statistics","Gregory Kurtzon","U.S. Bureau of Labor Statistics","Randal Verbrugge","Federal Reserve Bank of Cleveland","Kim J. Ruhl","Pennsylvania State University","Stephen R. Yeaple","Pennsylvania State University","","","ABDUL",110,1,0.990991,0.009009,111,1,0,1,0
"Abdul","Abdul Munasib","Sparking the #MeToo Revolution in India: The \"Nirbhaya\" Case in Delhi","U.S. Bureau of Economic Analysis","Jan. 6 2019","10:15 AM - 12:15 PM","Atlanta Marriott Marquis, International 1","American Economic Association","Economics of Crime","K4","Mark Cohen","Vanderbilt University","","","","","","","","","","","ABDUL",110,1,0.990991,0.009009,111,1,0,1,0
"Abdulaziz","Abdulaziz B. Shifa","Colonial Origins and the Persistence of Communal Land Ownership","Syracuse University","Jan. 5 2019","2:30 PM - 4:30 PM","Hyatt Regency Atlanta, Hanover D & E","Association for Comparative Economic Studies","Institutional Persistence and Change","P5, O1","Daniel Berkowitz","University of Pittsburgh","Ruben Enikolopov","Pompeu Fabra University","Tymofiy Mylovanov","University of Pittsburgh","Sarah Walker","University of New South Wales","","","","","ABDULAZIZ",5,0,1,0,5,1,0,1,0
"Abdullah","Abdullah Al-Bahrani","Persistence of the Racial Financial Literacy Gap. Can Parental and Formal Financial Education Bridge the Gap?","Northern Kentucky University","Jan. 4 2019","12:30 PM - 2:15 PM","Atlanta Marriott Marquis, M202","National Association of Economic Educators","Real-World Impacts of Financial Literacy","A2","Carlos Asarta","University of Delaware","Brooke Conaway","Georgia College","Paul Grimes","Pittsburg State University","Andrew Hill","Federal Reserve Bank of Philadelphia","","","","","ABDULLAH",26,0,1,0,26,1,0,1,0
"Abdullah","Abdullah Yavas","Private Mortgage Securitization and Loan Origination Quality - New Evidence from Loan Losses","University of Wisconsin-Madison","Jan. 4 2019","12:30 PM - 2:15 PM","Hilton Atlanta, 301-302","American Real Estate and Urban Economics Association","Default and Foreclosure","G0, E5","Vincent Yao","Georgia State University","Brent Ambrose","Pennsylvania State University","Souphala Chomsisengphet","Office of the Comptroller of the Currency","Walter Torous","Massachusetts Institute of Technology","Allen N. Berger","University of South Carolina","","","ABDULLAH",26,0,1,0,26,1,0,1,0
"Abhinav","Abhinav Narayanan","How Productive is Public Investment? Evidence from Indian Manufacturing","Reserve Bank of India","Jan. 4 2019","8:00 AM - 10:00 AM","Hilton Atlanta, 223","Association of Indian Economic and Financial Studies","Growth Efficiency & Finance","O1, Y9","Usha Nair-Reichert","Georgia Institute of Technology","Shailendra Gajanan","University of Pittsburgh-Bradford","Debasri Mukherjee","Western Michigan University","Raja Kali","University of Arkansas","Nabamita Dutta","University of Wisconsin-La Crosse","Sushanta Mallick","Queen Mary University of London","ABHINAV",14,0,1,0,14,1,0,1,0
"Abhinav","Abhinav Narayanan","Cash and the Economy: Evidence from India's Demonetization","Reserve Bank of India","Jan. 5 2019","2:30 PM - 4:30 PM","Hilton Atlanta, 223","Society for the Study of Emerging Markets","Money, Credit, and Corporate Finance in Emerging Economies","F3, E4","Josef C. Brada","Arizona State University","Linda Goldberg","Federal Reserve Bank of New York","Vojislav Maksimovic","University of Maryland","Vimal Balasubramaniam","University of Warwick","Jesse Schreger","Columbia University","","","ABHINAV",14,0,1,0,14,1,0,1,0
"Abhishek","Abhishek Ganguly","Media and Shareholder Activism","Indiana University","Jan. 4 2019","7:30 AM - 6:00 PM","Hilton Atlanta, Grand Ballroom Pre-Function North","American Finance Association","AFA Ph.D. Student Poster Session","G0","Kenneth Singleton","Stanford University","","","","","","","","","","","ABHISHEK",51,0,1,0,51,1,0,1,0
