"first_name","author","paper_title","author_affiliation","date","time","location","association","session_title","session_jel_code","session_chair","session_chair_affiliation","discussant_1","discussant_1_affiliation","discussant_2","discussant_2_affiliation","discussant_3","discussant_3_affiliation","discussant_4","discussant_4_affiliation","discussant_5","discussant_5_affiliation","firstname","total_male","total_female","prob_male","prob_female","total_names","male_75","female_75","male_95","female_95"
"Aaron","Aaron Pacitti","Rethinking Employment Relations: The Social Bargain, Pensions, and Price Stability","Siena College","Jan 05 2015","10:15 AM","Westin Copley, Courier","Labor & Employment Relations Association","LERA Papers VIII: Micro and Macro Effects of Employer-Provided Job Benefits","J3","James Bang","St. Ambrose University","James Bang","St. Ambrose University","Françoise Carré","University of Massachusetts-Boston","Cruz Bueno","Siena College","","","","","AARON",880,1,0.9988649,0.0011351,881,1,0,1,0
"Aarti","Aarti Rughoo","The Financial Crisis and Bank Convergence: Evidence from the European Union and Eurozone","University of Hertfordshire","Jan 05 2015","10:15 AM","Boston Marriott Copley, St. Botolph","Association for Comparative Economic Studies","Financial and Economic Stability in the European Union (G2, F3)","","Lucjan T. Orlowski","Sacred Heart University","David M. Kemme","University of Memphis","Krzysztof Jajuga","Wroclaw University of Economics","Gian Cesare Romagnoli","University of Rome III","","","","","AARTI",0,10,0,1,10,0,1,0,1
"Abdoul","Abdoul Mijiyawa","What Can Trade Tell Us about Economic Transformation? Composition of Trade and Structural Transformation in African Countries","World Bank","Jan 03 2015","8:00 AM","Sheraton Boston, Gardner Room","African Finance & Economics Association","Trade and Africa's Structural Transformation (O1, F1)","","Leonce Ndikumana","University of Massachusetts-Amherst","Danielle T. Smith","Rochester Institute of Technology","Oluyemisi Kuku-Shittu","NSSP-IFPRI","Inoussa Boubacar","Clarion University","Samuel Amponsah","Tokyo International University","Malokele Nanivazo","UN-WIDER","ABDOUL",10,0,1,0,10,1,0,1,0
"Abdullah","Abdullah Al-Hassan","Financial Deepening in GCC","International Monetary Fund","Jan 03 2015","2:30 PM","Boston Marriott Copley, Tufts","Middle East Economic Association","MENA Countries and Financial Institutions","G2","Hassan Y. Aly","Ohio State University","Wassim Shahin","Lebanese American University","Abdelnacer Bouteldja","University of Tlemcen","Alpay Filiztekin","Sabanci University","Ibrahim Ahmed Elbadawi","Dubai Economic Council and The Economic Research Forum","Ahmed Kamaly","American University in Cairo","ABDULLAH",26,0,1,0,26,1,0,1,0
"Abdullah","Abdullah Yavas","Collateral Damage: How Mortgage Loans Decrease U.S. Savings","University of Wisconsin","Jan 05 2015","10:15 AM","Westin Copley, Empire","American Real Estate & Urban Economic Association","Housing and Macroeconomic Shocks (E5, R3)","","Andrew Haughwout","Federal Reserve Bank of New York","Andrea Tambalotti","Federal Reserve Bank of New York","Andreas Fuster","Federal Reserve Bank of New York","Jessie Handbury","University of Pennsylvania","","","","","ABDULLAH",26,0,1,0,26,1,0,1,0
"Abena","Abena D. Oduro","Assets and Shocks: A Gendered Analysis of Ecuador, Ghana, and Karnataka, India","University of Ghana","Jan 04 2015","10:15 AM","Boston Marriott Copley, Yarmouth","International Association for Feminist Economics","(Feminist) Economic Decision Making: Marriage, Mobility, and Fertility","J6","Julie Nelson","University of Massachusetts-Boston","","","","","","","","","","","ABENA",0,24,0,1,24,0,1,0,1
"Abigail","Abigail S. Hornstein","Managerial Investment in Mutual Funds","Wesleyan University","Jan 03 2015","2:30 PM","Sheraton Boston, Berkeley Room","American Economic Association","Investor Behavior","G1","Donald Chambers","Lafayette College","","","","","","","","","","","ABIGAIL",0,165,0,1,165,0,1,0,1
"Abigail","Abigail Adams","Prices versus Preferences: Taste Change and Revealed Preference","Oxford University and IFS","Jan 04 2015","2:30 PM","Hynes Convention Center, Room 202","American Economic Association","New Developments in the Estimation of Classical Consumer Demand (C5, D1)","","Richard Blundell","University College London","Jerry Hausman","Massachusetts Institute of Technology","Frederic Vermeulen","KU Leuven","Krishna Pendakur","Simon Fraser University","Dennis Kristensen","University College London","","","ABIGAIL",0,165,0,1,165,0,1,0,1
"Abigail","Abigail Payne","The Effectiveness of Tutorials in Large Classes: Do They Matter? Is There a Difference between Traditional and Collaborative Learning Tutorials?","McMaster University","Jan 04 2015","8:00 AM","Hynes Convention Center, Room 209","American Economic Association","The Effects of Attendance, Visualization, Study Time and Tutorials on Learning in Economic Education","A2","Georg Schaur","University of Tennessee","Victoria Liza Prowse","Cornell University","Anne Boring","Sciences Po","Anya Savikhin Samek","University of Wisconsin-Madison","Andrew Perumal","University of Massachusetts-Boston","","","ABIGAIL",0,165,0,1,165,0,1,0,1
"Aboubacar","Aboubacar Badamassi","Health Care Expenditures in African Nations: A Panel Unit Root and Cointegration Analysis","School of Economics and Management, China University of Geosciences,Wuhan","Jan 04 2015","2:30 PM","Sheraton Boston, Gardner Room","African Finance & Economics Association","Economic, Social and Political Development in Africa (O1, O1)","","Juliet Elu","Morehouse College","Steve Onyeiwu","Allegheny College","Darline Augustine","Rochester Institute of Technology","Malokele Nanivazo","UN-WIDER","Ousman Gajigo","African Development Bank","Thouraya Triki","African Development Bank","ABOUBACAR",2,0,1,0,2,1,0,1,0
"Abu","Abu Shonchoy","Economic Impact of Political Protests (Strikes) on Firms: Evidence from Bangladesh","Institute of Developing Economies-JETRO and University of Tokyo","Jan 03 2015","2:30 PM","Boston Marriott Copley, Maine","Association for Economic & Development Studies in Bangladesh","Development Issues on Bangladesh (O1, D1)","","Fahad Khalil","University of Washington","Douglas Almond","Columbia University","Andrew D. Foster","Brown University","Tanjim Hossain","University of Toronto","Alessandra Voena","University of Chicago","","","ABU",23,1,0.9583333,0.0416667,24,1,0,1,0
"Achim","Achim Mattes","Recovering Managerial Risk Taking from Daily Hedge Fund Returns: Incentives at Work?","University of Konstanz","Jan 03 2015","2:30 PM","Westin Copley, Essex South","American Finance Association","Hedge Funds","G2","Neng Wang","Columbia University","Vikas Agarwal","Georgia State University","Jianfeng Yu","University of Minnesota","Jennifer Carpenter","New York University","Itamar Drechsler","New York University","","","ACHIM",2,0,1,0,2,1,0,1,0
"Adam","Adam Greenberg","Lying, Guilt, and Shame","University of California-San Diego","Jan 04 2015","10:15 AM","Sheraton Boston, Berkeley Room","American Economic Association","Lying, Beliefs and Psychological Games (C9, D8)","","Gary Charness","University of California-Santa Barbara","Ragan Petrie","George Mason University","Ernesto Reuben","Columbia University","Jordi Brandts","Autonomous University of Barcelona","Markus Mobius","Microsoft Research","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam Biener","Estimating the Medical Care Costs of Youth Obesity in the Presence of Proxy Reporting Error","Lehigh University","Jan 04 2015","8:00 AM","Boston Marriott Copley, Provincetown","Health Economics Research Organization","Contributed Papers in the Economics of Hospitals, Public Insurance, and Medical Expenditures (I1, I1)","","J. Michael Fitzmaurice","JMF Associates","Vivian Ho","Rice University","Dhaval M. Dave","Bentley University","Nathan Tefft","Bates College","","","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam M. Rosen","A Discrete Choice Model for Horizontally and Vertically Differentiated Alternatives","University College London","Jan 05 2015","1:00 PM","Sheraton Boston, Beacon D","Econometric Society","Discrete Choice","C1","Jack Porter","University of Wisconsin","","","","","","","","","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam D. Nowak","Bubbles, Post-Crash Dynamics, and the Housing Market","West Virginia University","Jan 03 2015","8:00 AM","Westin Copley, Great Republic","American Real Estate & Urban Economic Association","House Price Dynamics (R3, G1)","","Richard Green","University of Southern California","Lu Han","University of Toronto","Kerry Vandell","University of California-Irvine","Stephen Malpezzi","University of Wisconsin-Madison","Christian Redfearn","University of Southern California","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adriano","Adriano Rampini","Household Risk Management","Duke University","Jan 03 2015","2:30 PM","Westin Copley, Essex North","American Finance Association","Corporate Finance, Financial Institutions, and Financial Markets","G3","Gustavo Manso","University of California-Berkeley","Dirk Hackbarth","Boston University","Zhiguo He","University of Chicago","Martin Oehmke","Columbia University","Wei Xiong","Princeton University","","","ADRIANO",22,0,1,0,22,1,0,1,0
"Adrienne","Adrienne Mack","Speaking of Trade: Quantifying the Contribution of Multilingualism to Overcome the Language Barriers to Trade","Federal Reserve Bank of Dallas","Jan 04 2015","8:00 AM","Boston Marriott Copley, Harvard","International Economic & Finance Society","Four Perspectives on International Trade Costs and Their Implications","F1","Mario J. Crucini","Vanderbilt University","","","","","","","","","","","ADRIENNE",0,250,0,1,250,0,1,0,1
"Ahmed","Ahmed Smahi","Analyzing the Key Indicators of the National Innovation System of Algeria","University of Tlemcen","Jan 04 2015","8:00 AM","Boston Marriott Copley, Tufts","Middle East Economic Association","Economic Development in MENA Region","O1","Mine Cinar","Loyola University","Erhan Aslanoglu","Piri Reis University","A. Suut Dogruel","Marmara University","Mahdi Majbouri","Babson College","Bulent Anil","Bahcesehir University","Nathalie Hilmi","Centre Scientifique de Monaco","AHMED",198,0,1,0,198,1,0,1,0
"Ahmed","Ahmed Kamaly","Does Privatization Enhance the Performance of Banks? Evidence from Egypt","American University-Cairo","Jan 03 2015","2:30 PM","Boston Marriott Copley, Tufts","Middle East Economic Association","MENA Countries and Financial Institutions","G2","Hassan Y. Aly","Ohio State University","Wassim Shahin","Lebanese American University","Abdelnacer Bouteldja","University of Tlemcen","Alpay Filiztekin","Sabanci University","Ibrahim Ahmed Elbadawi","Dubai Economic Council and The Economic Research Forum","Ahmed Kamaly","American University in Cairo","AHMED",198,0,1,0,198,1,0,1,0
"Ajay","Ajay Shenoy","Stagnation or Transition? Poverty Traps and the Dynamics of Household Income","University of California-Santa Cruz","Jan 04 2015","10:15 AM","Boston Marriott Copley, Tufts","Association of Indian Economics & Financial Studies","Gender, Socioeconomics and Development (O2, O1)","","Amitrajeet A. Batabyal","Rochester Institute of Technology","Nayana Bose","Vanderbilt University","Subarna Samanta","College of New Jersey","Raj Arunachalam","University of Michigan","Nandita Dasgupta","University of Maryland Baltimore County","Shailendra Gajanan","University of Pittsburgh-Bradford","AJAY",59,0,1,0,59,1,0,1,0
"Ajay","Ajay Palvia","Banks’ Internal Capital Markets and Deposit Rates","Office of the Comptroller of the Currency","Jan 04 2015","8:00 AM","Boston Marriott Copley, Grand Ballroom—Salon H","International Banking Economics & Finance Association","Banks, Government Intervention and Deregulation (G2, E5)","","Leonard Nakamura","Federal Reserve Bank of Philadelphia","Stephane Verani","Federal Reserve Board","Johan Almenberg","Swedish Ministry of Finance","Dmytro Holod","State University of New York-Stony Brook","Kasper Roszbach","Sveriges Riksbank","","","AJAY",59,0,1,0,59,1,0,1,0
"Ajit","Ajit Zacharias","The Great Recession and Racial Inequality: Evidence from Measures of Economic Well-Being","Levy Economics Institute of Bard College","Jan 03 2015","2:30 PM","Boston Marriott Copley, New Hampshire","National Economic Association/Union for Radical Political Economics","The Great Recession and Implications for African Americans","E2","Fred Moseley","Mount Holyoke College","Terry-Ann Craigie","Connecticut College","Valerie Wilson","Economic Policy Institute","Willene Johnson","Komaza, Inc","","","","","AJIT",11,0,1,0,11,1,0,1,0
"Al","Al Campbell","The Incubator of the Great Meltdown of 2008: the Structure and Practices of U.S. Neoliberalism as Attacks on Labor","University of Utah","Jan 05 2015","8:00 AM","Boston Marriott Copley, Orleans","Union for Radical Political Economics","Marxist Perspectives on the Causes of the Crisis of 2008","P1","Fred Moseley","Mount Holyoke College","Fred Moseley","Mount Holyoke College","Amitava Dutt","University of Notre Dame","","","","","","","AL",356,9,0.9753425,0.0246575,365,1,0,1,0
"Alain","Alain Durré","De-Fragmenting Euro Area Financial Markets: Monetary Policy versus New Political Economy?","European Central Bank and Lille Catholic University","Jan 05 2015","10:15 AM","Boston Marriott Copley, St. Botolph","Association for Comparative Economic Studies","Financial and Economic Stability in the European Union (G2, F3)","","Lucjan T. Orlowski","Sacred Heart University","David M. Kemme","University of Memphis","Krzysztof Jajuga","Wroclaw University of Economics","Gian Cesare Romagnoli","University of Rome III","","","","","ALAIN",68,2,0.9714286,0.0285714,70,1,0,1,0
"Alain","Alain Monfort","Staying at Zero with Affine Processes: A New Dynamic Term Structure Model","CREST","Jan 04 2015","2:30 PM","Sheraton Boston, Beacon D","Econometric Society","Financial Econometrics","C5","Eric Renault","Brown University","","","","","","","","","","","ALAIN",68,2,0.9714286,0.0285714,70,1,0,1,0
"Alan","Alan Benson","The Value of Employer Reputation in the Absence of Contract Enforcement: A Randomized Experiment","University of Minnesota","Jan 04 2015","8:00 AM","Westin Copley, Great Republic","Labor & Employment Relations Association","Dissecting Job Search: Economic Approaches to Employers Screening Workers and Workers Screening Jobs","J2","Paul Osterman","Massachusetts Institute of Technology","Chris Stanton","University of Utah","Colleen Manchester","University of Minnesota","Conrad Miller","Princeton University","Hye Jin Rho","Massachusetts Institute of Technology","","","ALAN",759,0,1,0,759,1,0,1,0
"Alan","Alan Dye","Where Are All the Yankees? Ownership and Entrepreneurship in Cuban Sugar, 1898-1921","Barnard College","Jan 03 2015","2:30 PM","Boston Marriott Copley, Yarmouth","Association for the Study of Cuban Economy","Puerto Rico and Cuba (P2, O1)","","Carlos Seiglie","Rutgers University","Luis Locay","University of Miami","","","","","","","","","ALAN",759,0,1,0,759,1,0,1,0
"Alan","Alan de Brauw","Migration, Youth, and Agricultural Productivity in Ethiopia","International Food Policy Research Institute","Jan 03 2015","12:30 PM","Westin Copley, St. George D","Agricultural & Applied Economics Association","Immigration, Agricultural Employment, and Trade: International Perspectives","F1","Mary Ahearn","USDA Economic Research Service (retired)","","","","","","","","","","","ALAN",759,0,1,0,759,1,0,1,0
"Alan","Alan Spearot","Jazz Combo","University of California-Santa Cruz: Drums","Jan 03 2015","8:00 PM","Sheraton Boston, Republic Ballroom A & B","American Economic Association","5th Annual Music Session","Y9","Stephen Wu","Hamilton College","","","","","","","","","","","ALAN",759,0,1,0,759,1,0,1,0
"Albert","Albert Park","The Impact of Early Childhood Shocks on the Evolution of Cognitive and Non-cognitive Skills","Hong Kong University of Science and Technology","Jan 05 2015","1:00 PM","Boston Marriott Copley, Tufts","Society of Government Economists","Returns to Child and Education Interventions (I2, D1)","","Quentin Wodon","World Bank","Elizabeth King","World Bank","Quentin Wodon","World Bank","Paul Glewwe","University of Minnesota","Harry Anthony Patrinos","World Bank","","","ALBERT",429,2,0.9953596,0.0046404,431,1,0,1,0
"Albert","Albert Menkveld","Crowded Trades: An Overlooked Systemic Risk for Central Clearing Counterparties","VU University Amsterdam","Jan 03 2015","8:00 AM","Westin Copley, America South","American Finance Association","Financial Stability (Sponsored by the Office for Financial Research (OFR))","G2","Patricia Mosser","Office of Financial Research","Haoxiang Zhu","Massachusetts Institute of Technology","Takeo Hoshi","Stanford University","Phillip Monin","Office of Financial Research","Matt Pritsker","Federal Reserve Bank of Boston","","","ALBERT",429,2,0.9953596,0.0046404,431,1,0,1,0
"Albert","Albert Guangzhou Hu","China's Patenting Surge from 2007 to 2011: More Innovation or Just More Patents?","China Europe International Business School and National University of Singapore","Jan 03 2015","8:00 AM","Boston Marriott Copley, St. Botolph","Association for Comparative Economic Studies","Intangible Capital, Creative Destruction, and Prospects for China's Continued Economic Growth (D2, O3)","","Belton Fleisher","Ohio State University","Belton Fleisher","Ohio State University","William McGuire","University of Washington-Tacoma","","","","","","","ALBERT",429,2,0.9953596,0.0046404,431,1,0,1,0
"Albert","Albert Queralto","Banks, Capital Flows and Financial Crises","Federal Reserve Board","Jan 03 2015","10:15 AM","Hynes Convention Center, Room 201","American Economic Association","Financial Frictions and the Macroeconomy","E3","Ayse Sapci","Colgate University","","","","","","","","","","","ALBERT",429,2,0.9953596,0.0046404,431,1,0,1,0
"Albert","Albert S. Kyle","Speculative Equilibrium with Differences in Higher-Order Beliefs","University of Maryland","Jan 05 2015","1:00 PM","Hynes Convention Center, Room 206","American Economic Association","Trading and Financial Instruments","G1","Rodolfo Prieto","Boston University","","","","","","","","","","","ALBERT",429,2,0.9953596,0.0046404,431,1,0,1,0
"Alberto","Alberto Rossi","Understanding the Sources of Risk Underlying the Cross-Section of Commodity Returns","University of Maryland","Jan 05 2015","1:00 PM","Westin Copley, America North","American Finance Association","Economics of Commodity and Currency Markets","G1","Pierre Collin-Dufresne","Ecole Polytechnique Federale de Lausanne","Kent Daniel","Columbia University","Adrien Verdelhan","Massachusetts Institute of Technology","Lars Lochstoer","Columbia University","Anders Trolle","Ecole Polytechnique Federale de Lausanne","","","ALBERTO",285,1,0.9965035,0.0034965,286,1,0,1,0
