paper_title,author
"Recessions, Retirement, and Social Security",Courtney C. Coile
What Explains Changes in Retirement Plans during the Great Recession?,Gopi Shah Goda
Time to Retire? The Effect of State Fiscal Policies on Retirement Decisions,Tami Gurley-Calvez
Crash and Wait? The Impact of the Great Recession on the Retirement Plans of Older Americans,Brooke Helppie McFall
Does Concentration Matter? Measurement of Petroleum Merger Price Effects,Daniel Hosken
More Evidence on the Performance of Merger Simulations,Matthew C. Weinberg
Challenges in Merger Simulation Analysis,Christopher R. Knittel
The Effect of Bottle Laws on Income: New Empirical Results,Bevin Ashenmiller
"Promoting Recycling: Private Values, Social Norms, and Economic Incentives",W. Kip Viscusi
The Environmental Consequences of Global Reuse,Thomas Kinnaman
The Diffusion of Energy Efficiency in Building,Nils Kok
Do Residential Customers Respond to Hourly Prices? Evidence from a Dynamic Pricing Experiment,Frank A. Wolak
Electricity Consumption and Durable Housing: Understanding Cohort Effects,Dora L. Costa
Is an Automaker's Road to Bankruptcy Paved with Customers' Beliefs?,Ali Hortaçsu
Consumers' Perceptions and Misperceptions of Energy Costs,Hunt Allcott
"Fuel Economy, Car Class Mix, and Safety",Mark R. Jacobsen
Forecasting Gasoline Prices Using Consumer Surveys,Soren T. Anderson
Credit Ratings and Security Prices in the Subprime MBS Market,Adam Ashcraft
Credit Ratings Accuracy and Analyst Incentives,Heski Bar-Isaac
Did Credit Rating Agencies Make Unbiased Assumptions on CDOs?,John M. Griffin
Credit Ratings and the Evolution of the Mortgage-Backed Securities Market,Jie He
Wine Retail Price Dispersion in the United States: Searching for Expensive Wines?,David A. Jaeger
"Climate, Grapevine Phenology, Wine Production, and Prices: Pauillac (1800-2009)",Jean-Michel Chevet
Isolating the Symbolic Implications of Employee Mobility: Price Increases after Hiring Winemakers from Prominent Wineries,Peter W. Roberts
What Is the Value of Terroir?,Robin Cross
The Restoration of Welfare Economics,Anthony B. Atkinson
Markets and Morality,Jagdish Bhagwati
Economics: A Moral Inquiry with Religious Origins,Benjamin M. Friedman
Economists as Worldly Philosophers,Robert J. Shiller
"Completion Rates and Time-to-Degree in Economics PhD Programs (with comments by David Colander, N. Gregory Mankiw, Melissa P. McInerney, James M. Poterba)",Wendy A. Stock
A Bright Idea for Measuring Economic Growth,Vernon Henderson
Does Quality Adjustment Matter for Technologically Stable Products? An Application to the CPI for Food,John S. Greenlees
"Quality Adjustment for Health Care Spending on Chronic Disease: Evidence from Diabetes Treatment, 1999-2009",Karen N. Eggleston
Sale Rates and Price Movements in Art Auctions,Orley Ashenfelter
"Rock and Roll Bands, (In)complete Contracts, and Creativity",Cédric Ceulemans
Art and Money,William N. Goetzmann
Optimal Learning Patterns for Creativity Generation in a Field,Jonathan S. Feinstein
Why Can't US Airlines Make Money?,Severin Borenstein
Comparing the Costs of Intermittent and Dispatchable Electricity Generating Technologies,Paul L. Joskow
Financial Regulatory Reform: Challenges Ahead,Randall S. Kroszner
Measuring the Benefits of Greater Spatial Granularity in Short-Term Pricing in Wholesale Electricity Markets,Frank A. Wolak
Challenges from State-Federal Interactions in US Climate Change Policy,Lawrence H. Goulder
The Role of Trade and Competitiveness Measures in US Climate Policy,Carolyn Fischer
Vertical Targeting and Leakage in Carbon Policy,James B. Bushnell
The Effect of Allowing Pollution Offsets with Imperfect Enforcement,Hilary Sigman
Corrective Taxation versus Liability,Steven Shavell
"Optimal Proof Burdens, Deterrence, and the Chilling of Desirable Behavior",Louis Kaplow
Trust in Public Institutions over the Business Cycle,Betsey Stevenson
Predicting and Preventing Shootings among At-Risk Youth,Dana Chandler
"The ""Collapse in Quality"" Hypothesis",Andrei A. Levchenko
Trade Finance and the Great Trade Collapse,JaeBin Ahn
US Trade and Inventory Dynamics,George Alessandria
Vertical Linkages and the Collapse of Global Trade,Rudolfs Bems
Does Market Experience Eliminate Market Anomalies? The Case of Exogenous Market Experience,John A. List
The Persistence of Treatment Effects with Norm-Based Policy Instruments: Evidence from a Randomized Environmental Policy Experiment,Paul J. Ferraro
