author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
Aaron Chalfin,The Long-Run Effect of Mexican Immigration on Crime in United States Cities: Evidence from Variation in Mexican Fertility Rates,University of Cincinnati,Jan 04 2015,2:30 PM,"Sheraton Boston, Independence Ballroom West",American Economic Association,Immigration Policy and Crime,H8,Paolo Pinotti,Bocconi University,,,,,,,,,,,Aaron Chalfin,Male,,,,,,NA,NA,NA,NA,NA
Aaron Sojourner,The Value of Employer Reputation in the Absence of Contract Enforcement: A Randomized Experiment,University of Minnesota,Jan 04 2015,8:00 AM,"Westin Copley, Great Republic",Labor & Employment Relations Association,Dissecting Job Search: Economic Approaches to Employers Screening Workers and Workers Screening Jobs,J2,Paul Osterman,Massachusetts Institute of Technology,Chris Stanton,University of Utah,Colleen Manchester,University of Minnesota,Conrad Miller,Princeton University,Hye Jin Rho,Massachusetts Institute of Technology,,,Aaron Sojourner,Male,,,,,,NA,NA,NA,NA,NA
Abe Dunn,Why Has Medicare FFS Spending Growth Slowed? A Disease Treatment Perspective,U.S. Bureau of Economic Analysis,Jan 03 2015,2:30 PM,"Sheraton Boston, The Fens",International Health Economics Association/American Economic Association,Recent Trends in National Health Spending - Ripple or Tide?,I1,David Cutler,Harvard University,Stephen K. Heffler,Office of the Chief Actuary,David Cutler,Harvard University,Charles Roehrig,Altarum Institute,Wesley Yin,University of California-Los Angeles,,,Abe Dunn,Male,,,,,,NA,NA,NA,NA,NA
Abhijit Banerjee,Making the Dynamics of Social Learning Visible,Massachusetts Institute of Technology,Jan 03 2015,10:15 AM,"Boston Marriott Copley, Wellesley",Economic Science Association,"Social Networks Experiments (C7, D8)",,Tanya S. Rosenblat,University of Michigan,Iwan Barankay,University of Pennsylvania,Gary Charness,University of Santa Barbara,Ragan Petrie,George Mason University,Lori Beaman,Northwestern University,,,ABHIJIT BANERJEE,Male,,,,,,NA,NA,NA,NA,NA
Abhijit Banerjee,Gossip and Identifying Central Individuals in a Social Network,Massachusetts Institute of Technology,Jan 04 2015,8:00 AM,"Hynes Convention Center, Room 203",American Economic Association,"Social Networks: Methods and Applications (D8, C1)",,Anton Badev,Federal Reserve Board,,,,,,,,,,,ABHIJIT BANERJEE,Male,,,,,,NA,NA,NA,NA,NA
Abhiroop Mukherjee,Do Debt Contract Enforcement Costs Affect Financing and Asset Structure?,Hong Kong University of Science and Technology,Jan 04 2015,8:00 AM,"Westin Copley, Essex North",American Finance Association,Dynamic Corporate Policies,G3,Toni Whited,University of Rochester,Todd Gormley,University of Pennsylvania,Gregor Matvos,University of Chicago,Brent Glover,Carnegie Mellon University,Michael Faulkender,University of Maryland,,,Abhiroop Mukherjee,Male,,,,,,NA,NA,NA,NA,NA
Adair Morse,Lawyers in the Executive Suite: Gatekeepers as Internal Governance,University of California-Berkeley,Jan 04 2015,10:15 AM,"Sheraton Boston, Beacon G",Econometric Society,"Contracts, Incentives and Firms",G3,Efraim Benmelech,Northwestern University,Konstantin Milbradt,Northwestern University,Simon Gervais,Duke University,Carola Frydman,Northwestern University,,,,,ADAIR MORSE,Female,,,,,,NA,NA,NA,NA,NA
Adam Clark-Joseph,Exploratory Trading,University of Illinois,Jan 04 2015,2:30 PM,"Westin Copley, America North",American Finance Association,High Frequency Trading,G1,Yacine Ait-Sahalia,Princeton University,Jonathan Brogaard,University of Washington,Mehmet Saglam,University of Cincinnati,Albert Menkveld,VU University Amsterdam,Ioanid Rosu,HEC Paris,,,Adam Clark-Joseph,Male,,,,,,NA,NA,NA,NA,NA
Adam Storeygard,Is climate change driving urbanization in Africa?,Tufts University,Jan 04 2015,2:30 PM,"Westin Copley, St. George A & B",American Real Estate & Urban Economic Association/American Economic Association,"Urbanization in Developing Countries (R1, O1)",,Stuart Rosenthal,Syracuse University,Jan Brueckner,University of California-Irvine,Edward Glaeser,Harvard University,Matthew Kahn,University of California-Los Angeles,Douglas Gollin,University of Oxford,,,Adam Storeygard,Male,,,,,,NA,NA,NA,NA,NA
Adeline Delavande,"University Choice: The Role of Expected Earnings, Non-Pecuniary Outcomes and Financial Constraints",University of Essex,Jan 04 2015,10:15 AM,"Sheraton Boston, Boston Common",American Economic Association,"Credit Constraints and Educational Choices (I2, O1)",,Susan Dynarski,University of Michigan,Judith Scott-Clayton,Columbia University,Matthew Wiswall,Arizona State University,Katja Kaufmann,University of Bocconi,Meta Brown,Federal Reserve Bank of New York,,,ADELINE DELAVANDE,Female,,,,,,NA,NA,NA,NA,NA
Adi Sunderam,The Rise and Fall of Demand for Securitizations,Harvard Business School,Jan 04 2015,8:00 AM,"Hynes Convention Center, Room 207",American Economic Association,"Safe Assets (E2, G1)",,Valentin Haddad,Princeton University,Valentin Haddad,Princeton University,Gary Gorton,Yale University,Adi Sunderam,Harvard Business School,Vania Stavrakeva,London Business School,,,Adi Sunderam,Male,,,,,,NA,NA,NA,NA,NA
Adlai Fisher,Horizon Effects in Average Returns: The Role of Slow Information Diffusion,University of British Columbia,Jan 05 2015,8:00 AM,"Westin Copley, Essex Center",American Finance Association,Topics in Asset Pricing,G1,Robert Hodrick,Columbia University,Jules van Binsbergen,Stanford University,Ralph Koijen,London Business School,Zhonjin Lu,University of Georgia,Xiaoyan Zhang,Purdue University,,,ADLAI FISHER,Male,,,,,,NA,NA,NA,NA,NA
Adriana Lleras-Muney,"Education, Initial Labor Market Conditions and Lifetime Outcomes: Evidence from Europe",University of California-Los Angeles,Jan 05 2015,8:00 AM,"Sheraton Boston, Liberty B",American Economic Association,Economics of Education,I2,Celeste Carruthers,University of Tennessee,,,,,,,,,,,ADRIANA LLERAS-MUNEY,Female,,,,,,NA,NA,NA,NA,NA
Adrien Verdelhan,Uncertainty Betas and International Capital Flows,Massachusetts Institute of Technology,Jan 03 2015,2:30 PM,"Sheraton Boston, Commonwealth",American Economic Association,"International Capital Flows (F3, F2)",,Linda Goldberg,Federal Reserve Bank of New York,Anusha Chari,University of North Carolina,Gurnain Pasricha,Bank of Canada,Jay Shambaugh,George Washington University,Yu-Chin Chen,University of Washington,,,ADRIEN VERDELHAN,Male,,,,,,NA,NA,NA,NA,NA
