author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4,,
Aaron Sojourner,Do Unions Promote Members' Electoral Office Holding? Evidence from Correlates of State Legislatures' Occupational Shares,University of Minnesota,Jan 05 2013,2:30 PM,"Marriott, Oceanside",Labor & Employment Relations Association,Union Members as Political Leaders,J5,Alexander J.S. Colvin,Cornell University,Rafael Gomez,University of Toronto,Jake Rosenfeld,University of Washington,,,,,,,Aaron Sojourner,Male,,,,,,NA,NA,NA,NA,NA,,
Adair Morse,Tax Evasion across Industries: Soft Credit Evidence from Greece,University of Chicago,Jan 06 2013,1:00 PM,"Hyatt, Windsor B & C",American Economic Association,Taxes,H2,Sally Wallace,Georgia State University,,,,,,,,,,,ADAIR MORSE,Female,,,,,,NA,NA,NA,NA,NA,,
Adam Isen,Does Improved Air Quality at Birth Translate Into Better Long-Term Outcomes? Evidence from the Clean Air Act of 1970,University of Pennsylvania,Jan 06 2013,1:00 PM,"Hyatt, Maggie",Association of Environmental & Resource Economists,Air Pollution and Public Health,Q5,Joshua Zivin,University of California-San Diego,Olivier Deschenes,University of California-Santa Barbara,Joshua Graff Zivin,University of California-San Diego,Rema Hanna,Harvard University,Nicholas Sanders,College of William & Mary,,,Adam Isen,Male,,,,,,NA,NA,NA,NA,NA,,
Adam Reed,Revealing Shorts: An Examination of Large Short Position Disclosures,University of North Carolina-Chapel Hill,Jan 04 2013,8:00 AM,"Marriott, Marina Salon G",American Finance Association,Market Microstructure,G1,Ingrid Werner,Ohio State University,Joel Hasbrouck,New York University,Karl Diether,Dartmouth College,Xavier Gabaix,New York University,,,,,ADAM REED,Male,,,,,,NA,NA,NA,NA,NA,,
Adam Sacarny,Healthcare Exceptionalism? Productivity and Allocation in the U.S. Healthcare Sector,Massachusetts Institute of Technology,Jan 04 2013,10:15 AM,"Hyatt, Manchester A",American Economic Association,"Firms, Innovation and Productivity",O4,Chad Syverson,University of Chicago,,,,,,,,,,,Adam Sacarny,Male,,,,,,NA,NA,NA,NA,NA,,
Adam Storeygard,"Farther on Down the Road: Transport Costs, Trade and Urban Growth in Sub-Saharan Africa",Tufts University,Jan 06 2013,10:15 AM,"Hyatt, Randle D",American Economic Association,Urbanization and Transportation Infrastructure in Developing Countries,O1,Benjamin A. Olken,Massachusetts Institute of Technology,Michael E. Waugh,New York University,Nancy Qian,Yale University,Benjamin A. Olken,Massachusetts Institute of Technology,Guy Michaels,London School of Economics,,,Adam Storeygard,Male,,,,,,NA,NA,NA,NA,NA,,
Adriana Lleras-Muney,Why Do the Rich Have So Few Kids?,University of California-Los Angeles,Jan 05 2013,8:00 AM,"Hyatt, Ford C",Chinese Economic Association in North America,Health and Economic Development,I1,Michael Grossman,City University of New York Graduate Center,Masanori Kashiwagi,National Taiwan University,Yi-Chan Tsai,University of Tokyo,Minchung Hsu,"National Graduate Institute for Policy Studies, Japan",Elaine Liu,University of Houston,,,ADRIANA LLERAS-MUNEY,Female,,,,,,NA,NA,NA,NA,NA,,
Adrien Verdelhan,The Share of Systematic Variation in Bilateral Exchange Rates,Massachusetts Institute of Technology,Jan 05 2013,8:00 AM,"Hyatt, America's Cup A & B",Econometric Society,International Finance and Currency Risk,F3,Adrien Verdelhan,Massachusetts Institute of Technology,Ralph Koijen,University of Chicago,Veronica Rappoport,Columbia University,Matteo Maggiori,University of California-Berkeley,Bernard Dumas,INSEAD,,,ADRIEN VERDELHAN,Male,,,,,,NA,NA,NA,NA,NA,,
Adrien Verdelhan,The Share of Systematic Variation in Bilateral Exchange Rates,Massachusetts Institute of Technology,Jan 05 2013,2:30 PM,"Marriott, Balboa & Mission Hills",American Finance Association,International Financial Markets,G1,Roberto Rigobon,Massachusetts Institute of Technology,Andrew Ang,Columbia University,Adrien Verdelhan,Massachusetts Institute of Technology,Craig Burnside,Duke University,,,,,ADRIEN VERDELHAN,Male,,,,,,NA,NA,NA,NA,NA,,
Adrien Verdelhan,The Share of Systematic Risk in Bilateral Exchange Rates,Massachusetts Institute of Technology,Jan 05 2013,10:15 AM,"Hyatt, Elizabeth Ballroom F",American Economic Association,International Macroeconomics,F3,David Backus,New York University,Nick Roussanov,University of Pennsylvania,Matteo Maggiori,New York University,David Backus,New York University,Martin Evans,Georgetown University,,,ADRIEN VERDELHAN,Male,,,,,,NA,NA,NA,NA,NA,,
