author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
Aaron Hedlund,"Monetary Policy, Heterogeneity, and the Housing Channel",University of Missouri-Columbia,Jan. 5 2019,10:15 AM - 12:15 PM,"Atlanta Marriott Marquis, International 8",American Economic Association,Mortgages and Monetary Policy Transmission,"G2, E5",Miguel Faria-e-Castro,Federal Reserve Bank of St. Louis,Arlene Wong,Princeton University,Carlos Garriga,Federal Reserve Bank of St. Louis,Pedro Gete,IE University,,,,,Aaron Hedlund,Male,,,,,,NA,NA,NA,NA,NA
Aaron Hedlund,Accounting for Tuition Increases across United States Colleges,University of Missouri,Jan. 4 2019,10:15 AM - 12:15 PM,"Atlanta Marriott Marquis, M104",American Economic Association,Tuition and Enrollment in Higher Education,"I2, L3",Grey Gordon,Federal Reserve Bank of Richmond,Alex Monge-Naranjo,Federal Reserve Bank of St. Louis,Rui Castro,McGill University,John Bailey Jones,Federal Reserve Bank of Richmond,Oksana Leukhina,Federal Reserve Bank of St. Louis,,,Aaron Hedlund,Male,,,,,,NA,NA,NA,NA,NA
Abdoulaye Ndiaye,Flexible Retirement and Optimal Taxation,Northwestern University,Jan. 4 2019,8:00 AM - 10:00 AM,"Atlanta Marriott Marquis, A708",American Economic Association,Labor Markets and the Macroeconomy,E2,Marianna Kudlyak,Federal Reserve Bank of San Francisco,,,,,,,,,,,Abdoulaye Ndiaye,Male,,,,,,NA,NA,NA,NA,NA
Abe Dunn,"What Does Health Care Billing Cost, and Why Does It Matter?",U.S. Bureau of Economic Analysis,Jan. 4 2019,2:30 PM - 4:30 PM,"Hilton Atlanta, 305",National Tax Association,Public Finance Lessons from Past National Tax Association Dissertation Award Winners,"H0, H2",Enda Hargaden,University of Tennessee-Knoxville,Brian Knight,Brown University and NBER,Dhammika Dharmapala,University of Chicago,David Albouy,University of Illinois and NBER,,,,,Abe Dunn,Male,,,,,,NA,NA,NA,NA,NA
Abhay Aneja,The Effect of Political Power on Labor Market Inequality: Evidence from the 1965 Voting Rights Act,Stanford University,Jan. 5 2019,10:15 AM - 12:15 PM,"Atlanta Marriott Marquis, International 9",American Economic Association,"Politics, Race and the Economy","D7, J1",Renee Bowen,University of California-San Diego,Leonard Wantchekon,Princeton University,Juan Carlos Suárez Serrato,Duke University,Michael Olabisi,Michigan State University,Elizabeth Cascio,Dartmouth College,,,Abhay Aneja,Male,,,,,,NA,NA,NA,NA,NA
Abhijit Banerjee,Does Elite Capture Matter? Local Elites and Targeted Welfare Programs in Indonesia,Massachusetts Institute of Technology,Jan. 4 2019,2:30 PM - 4:30 PM,"Atlanta Marriott Marquis, International 7",American Economic Association,Intentional and Unintentional Effects of Safety Net Programs,"I3, H2",Adriana Lleras-Muney,University of California-Los Angeles,Amanda Kowalski,University of Michigan,Samuel Bazzi,Boston University,Adriana Lleras-Muney,University of California-Los Angeles,,,,,ABHIJIT BANERJEE,Male,,,,,,NA,NA,NA,NA,NA
Abhijit Banerjee,"Entertainment, Education and Attitudes Towards Domestic Violence",Massachusetts Institute of Technology,Jan. 6 2019,8:00 AM - 10:00 AM,"Atlanta Marriott Marquis, A701",American Economic Association,Shaping Norms,"O1, D9",Christopher Udry,Northwestern University,,,,,,,,,,,ABHIJIT BANERJEE,Male,,,,,,NA,NA,NA,NA,NA
Abhiroop Mukherjee,The Effect of Superstar Firms on College Major Choice,Hong Kong University of Science and Technology,Jan. 4 2019,8:00 AM - 10:00 AM,"Hilton Atlanta, Grand Ballroom B",American Finance Association,Behavioral Corporate Finance,G3,Geoffrey Tate,University of North Carolina,Jonathan Cohn,University of Texas-Austin,Vyacheslav (Slava) Fos,Boston College,Ryan Pratt,Brigham Young University,Paige Ouimet,University of North Carolina,,,Abhiroop Mukherjee,Male,,,,,,NA,NA,NA,NA,NA
Adair Morse,Consumer-Lending Discrimination in the FinTech Era,University of California-Berkeley and NBER,Jan. 6 2019,1:00 PM - 3:00 PM,"Atlanta Marriott Marquis, A707",American Economic Association,The Impact of Digital Economy,"G2, A1",Manju Puri,Duke University and NBER,Gregor Matvos,University of Texas-Austin and NBER,Manuel Adelino,"Duke University, CEPR and NBER",Paolina C. Medina,Texas A&M University,Zhiguo He,University of Chicago and NBER,,,ADAIR MORSE,Female,,,,,,NA,NA,NA,NA,NA
Adam Guren,Mortgage Design and Housing Market,Boston University,Jan. 6 2019,1:00 PM - 3:00 PM,"Atlanta Marriott Marquis, Marquis Ballroom A",American Economic Association,Macroeconomic Implications of Debt Contracts,"E2, G0",Yueran Ma,University of Chicago,Jesse Schreger,Columbia University,Tim Landvoigt,University of Pennsylvania,Simon Gilchrist,New York University,Douglas Diamond,University of Chicago,,,Adam Guren,Male,,,,,,NA,NA,NA,NA,NA
