session_title,paper_title,author
 Richard T. Ely Lecture,Restoring Rational Choice: The Challenge of Consumer Financial Regulation,[' John Y. Campbell ']
 The United States Economy: Where To from Here?,The Phillips Curve: Back to the '60s?,[' Olivier Blanchard ']
 The United States Economy: Where To from Here?,Dealing with Long-Term Deficits,[' Martin Feldstein ']
 The United States Economy: Where To from Here?,"Monetary Policy, Financial Stability, and the Zero Lower Bound",[' Stanley Fischer ']
 The United States Economy: Where To from Here?,How to Restore Equitable and Sustainable Economic Growth in the United States,[' Joseph E. Stiglitz ']
 The United States Economy: Where To from Here?,Can We Restart the Recovery All Over Again?,[' John B. Taylor ']
 Critiquing Robert J. Gordon's The Rise and Fall of American Growth,A Century of Growth and Improvement,[' Benjamin M. Friedman ']
 Critiquing Robert J. Gordon's The Rise and Fall of American Growth,The Rise and Fall of American Growth: Exploring the Numbers,[' Nicholas Crafts ']
 Critiquing Robert J. Gordon's The Rise and Fall of American Growth,State Capacity and American Technology: Evidence from the Nineteenth Century,"[' Daron Acemoglu', ' Jacob Moscona ', ' James A. Robinson ']"
 Critiquing Robert J. Gordon's The Rise and Fall of American Growth,Winter Is Coming: Robert Gordon and the Future of Economic Growth,[' Gregory Clark ']
 Critiquing Robert J. Gordon's The Rise and Fall of American Growth,Perspectives on The Rise and Fall of American Growth,[' Robert J. Gordon ']
 Infrastructure and Development,"Infrastructure, Incentives, and Institutions","[' Nava Ashraf', ' Edward L. Glaeser ', ' Giacomo A. M. Ponzetto ']"
 Infrastructure and Development,"Guns, Latrines, and Land Reform: Dynamic Pigouvian Taxation","[' Michael Kremer ', ' Jack Willis ']"
 Infrastructure and Development,Appliance Ownership and Aspirations among Electric Grid and Home Solar Households in Rural Kenya,"[' Kenneth Lee', ' Edward Miguel ', ' Catherine Wolfram ']"
" Productivity, Regulation, and Allocation: Macro, Industry- and Firm-Level Evidence",Firm-Level Dispersion in Productivity: Is the Devil in the Details?,"[' Lucia Foster', ' Cheryl Grim', ' John Haltiwanger ', ' Zoltan Wolf ']"
" Productivity, Regulation, and Allocation: Macro, Industry- and Firm-Level Evidence",Productivity Dispersion in Medicine and Manufacturing,"[' Amitabh Chandra', ' Amy Finkelstein', ' Adam Sacarny ', ' Chad Syverson ']"
" Productivity, Regulation, and Allocation: Macro, Industry- and Firm-Level Evidence","Market Regulations, Prices, and Productivity","[' Gilbert Cette', ' Jimmy Lopez ', ' Jacques Mairesse ']"
" Productivity, Regulation, and Allocation: Macro, Industry- and Firm-Level Evidence","Regulation, Institutions, and Productivity: New Macroeconomic Evidence from OECD Countries",[' Balázs Égert ']
