paper_title,author
Algorithmic Fairness,Jon Kleinberg
Welfarism's Envy Problem Extends to Popular Judgments,Matthew Weinzierl
Quadratic Voting: How Mechanism Design Can Radicalize Democracy,Steven P. Lalley
"Should We Treat Data as Labor? Moving beyond ""Free""",Imanol Arrieta-Ibarra
"What Can Machines Learn, and What Does It Mean for Occupations and the Economy?",Erik Brynjolfsson
Modeling Automation,Daron Acemoglu
A Method to Link Advances in Artificial Intelligence to Occupational Abilities,Edward W. Felten
Human Judgment and AI Pricing,Ajay Agrawal
Estimating Heterogeneous Consumer Preferences for Restaurants and Travel Time Using Mobile Location Data,Susan Athey
The Potential of Digital Credit to Bank the Poor,Daniel Björkegren
Estimating Economic Characteristics with Phone Data,Joshua E. Blumenstock
Nowcasting Gentrification: Using Yelp Data to Quantify Neighborhood Change,Edward L. Glaeser
Misperceptions about Tax Audits,Marcelo Bérgolo
Ramsey Strikes Back: Optimal Commodity Tax and Redistribution in the Presence of Salience Effects,Hunt Allcott
Can Information Change Personal Retirement Savings? Evidence from Social Security Benefits Statement Mailings,Susan Payne Carter
Rationalizations and Mistakes: Optimal Policy with Normative Ambiguity,Jacob Goldin
The Elephant Curve of Global Inequality and Growth,Facundo Alvaredo
From Communism to Capitalism: Private versus Public Property and Inequality in China and Russia,Filip Novokmet
Applying Generalized Pareto Curves to Inequality Analysis,Thomas Blanchet
"Extreme Inequality: Evidence from Brazil, India, the Middle East, and South Africa",Lydia Assouad
Challenges in the Measurement of Leakage Risk,Meredith Fowlie
How Trade Sensitive Are Energy-Intensive Sectors?,Carolyn Fischer
Regulating Mismeasured Pollution: Implications of Firm Heterogeneity for Environmental Policy,Eva Lyubich
Is Altruism Sensitive to Scope? The Role of Tangibility,Alex Imas
Mental Budgeting versus Relative Thinking,Samuel Hirshman
When Nudges Are Forever: Inertia in the Swedish Premium Pension Plan,Henrik Cronqvist
Cross-Country Differences in Household Stock Market Participation: The Role of Gender Norms,Da Ke
Gender Norms and Relative Working Hours: Why Do Women Suffer More Than Men from Working Longer Hours Than Their Partners?,Sarah Fleche
The Language of Discrimination: Using Experimental versus Observational Data,Aislinn Bohren
Gendered Language on the Economics Job Market Rumors Forum,Alice H. Wu
Representations of Men and Women in Introductory Economics Textbooks,Betsey Stevenson
What Can UWE Do for Economics?,Tatyana Avilova
A Dialogue between a Populist and an Economist,Tito Boeri
Is Populism Necessarily Bad Economics?,Dani Rodrik
Economic Drivers of Populism,Sergei Guriev
Studying the (Economic) Consequences of Populism,Cristóbal Kaltwasser
On the Returns to Invention within Firms: Evidence from Finland,Philippe Aghion
"Local Violence, Academic Performance, and School Accountability",Marcus Casey
Racial Differences in Police Use of Force: Evidence from the 1960s Civil Disturbances,Jamein P. Cunningham
"Last Place? The Intersection of Ethnicity, Gender, and Race in Biomedical Authorship",Gerald Marschke
Reconciling Results on Racial Differences in Police Shootings,Roland G. Fryer Jr.
Intergenerational Effects of Incarceration,Manudeep Bhuller
Racial and Ethnic Sentencing Differentials in the Federal Criminal Justice System,Brendon McConnell
Participating or Not? Characteristics of Female Entrepreneurs Participating in and Completing an Entrepreneurial Training Program,Leonardo Iacovone
Mind The (Profit) Gap: Why Are Female Enterprise Owners Earning Less Than Men?,Morgan Hardy
Is Personal Initiative Training a Substitute or Complement to the Existing Human Capital of Women? Results from a Randomized Trial in Togo,Francisco Campos
Disability Saliency and Discrimination in Hiring,Philip Armour
The Effect of the Disability Insurance Application Decision on the Employment of Denied Applicants,Mashfiqur R. Khan
Return-to-Work Policies and Labor Supply in Disability Insurance Programs,Arezou Zaresani
Income Volatility and the PSID: Past Research and New Results,Robert Moffitt
Nonlinear Persistence and Partial Insurance: Income and Consumption Dynamics in the PSID,Manuel Arellano
New Evidence on Earnings Volatility in Survey and Administrative Data,Michael D. Carr
