session_title,paper_title,author
 Richard T. Ely Lecture,Retirement Security in an Aging Population,[' James M. Poterba ']
 What's Natural? Key Macroeconomic Parameters after the Great Recession,"Inflation Persistence, the NAIRU, and the Great Recession",[' Mark W. Watson ']
 What's Natural? Key Macroeconomic Parameters after the Great Recession,The Natural Rate of Interest and Its Usefulness for Monetary Policy,"[' Robert Barsky', ' Alejandro Justiniano ', ' Leonardo Melosi ']"
 What's Natural? Key Macroeconomic Parameters after the Great Recession,The Future of US Economic Growth,"[' John G. Fernald ', ' Charles I. Jones ']"
 Recessions and Recoveries,Recovery from Financial Crises: Evidence from 100 Episodes,"[' Carmen M. Reinhart ', ' Kenneth S. Rogoff ']"
 Recessions and Recoveries,Why Has US Policy Uncertainty Risen since 1960?,"[' Scott R. Baker', ' Nicholas Bloom', ' Brandice Canes-Wrone', ' Steven J. Davis ', ' Jonathan Rodden ']"
 Recessions and Recoveries,The Role of Policy in the Great Recession and the Weak Recovery,[' John B. Taylor ']
 Is Neglect Benign? The Case of United States Housing Finance Policy,Housing Assignment with Restrictions: Theory and Evidence from Stanford University's Campus,"[' Tim Landvoigt', ' Monika Piazzesi ', ' Martin Schneider ']"
 Is Neglect Benign? The Case of United States Housing Finance Policy,Why Is Housing Finance Still Stuck in Such a Primitive Stage?,[' Robert J. Shiller ']
 Is Neglect Benign? The Case of United States Housing Finance Policy,"The Mortgage Mess, the Press, and the Politics of Inattention","[' Andrew Caplin ', ' Roy Lowrance ']"
 Is Neglect Benign? The Case of United States Housing Finance Policy,Mandated Risk Retention in Mortgage Securitization: An Economist's View,[' Paul Willen ']
 Sovereign Debt Crisis,Is It Too Late to Bail Out the Troubled Countries in the Eurozone?,"[' Juan Carlos Conesa ', ' Timothy J. Kehoe ']"
 Sovereign Debt Crisis,Renegotiation Policies in Sovereign Defaults,"[' Cristina Arellano ', ' Yan Bai ']"
 Sovereign Debt Crisis,Sovereign Debt Booms in Monetary Unions,"[' Mark Aguiar', ' Manuel Amador', ' Emmanuel Farhi ', ' Gita Gopinath ']"
 Perspectives on Consumption,The Distribution of Wealth and the MPC: Implications of New European Data,"[' Christopher D. Carroll', ' Jiri Slacalek ', ' Kiichi Tokuoka ']"
 Perspectives on Consumption,Measuring How Fiscal Shocks Affect Durable Spending in Recessions and Expansions,"[' David Berger ', ' Joseph Vavra ']"
 Perspectives on Consumption,A Tale of Two Stimulus Payments: 2001 versus 2008,"[' Greg Kaplan ', ' Giovanni L. Violante ']"
 New Directions and Opportunities for Research on Consumption with the PSID,Consumption Inequality over the Last Half Century: Some Evidence Using the New PSID Consumption Measure,"[' Orazio Attanasio ', ' Luigi Pistaferri ']"
 New Directions and Opportunities for Research on Consumption with the PSID,"Health, Human Capital, and Life Cycle Labor Supply","[' Charles Hokayem ', ' James P. Ziliak ']"
 New Directions and Opportunities for Research on Consumption with the PSID,Estimates of Annual Consumption Expenditures and Its Major Components in the PSID in Comparison to the CE,"[' Patricia Andreski', ' Geng Li', ' Mehmet Zahid Samancioglu ', ' Robert Schoeni ']"
 New Directions and Opportunities for Research on Consumption with the PSID,The Intergenerational Correlation of Consumption Expenditures,"[' Kerwin Kofi Charles', ' Sheldon Danziger', ' Geng Li ', ' Robert Schoeni ']"
 Big Data in Macroeconomics: New Insights from Large Administrative Datasets,Is the United States Still a Land of Opportunity? Recent Trends in Intergenerational Mobility,"[' Raj Chetty', ' Nathaniel Hendren', ' Patrick Kline', ' Emmanuel Saez ', ' Nicholas Turner ']"
 Big Data in Macroeconomics: New Insights from Large Administrative Datasets,How Risky Are Recessions for Top Earners?,"[' Fatih Guvenen', ' Greg Kaplan ', ' Jae Song ']"
 Big Data in Macroeconomics: New Insights from Large Administrative Datasets,Year-End Tax Planning of Top Management: Evidence from High-Frequency Payroll Data,"[' Claus Thustrup Kreiner', ' Søren Leth-Petersen ', ' Peer Ebbesen Skov ']"
 Macro Development with Micro Data,Macro-perspective on Asset Grants Programs: Occupational and Wealth Mobility,"[' Francisco J. Buera', ' Joseph P. Kaboski ', ' Yongseok Shin ']"
 Macro Development with Micro Data,Agricultural Productivity Differences across Countries,"[' Douglas Gollin', ' David Lagakos ', ' Michael E. Waugh ']"
 Macro Development with Micro Data,The Aggregate Impact of Household Saving and Borrowing Constraints: Designing a Field Experiment in Uganda,"[' Joseph P. Kaboski', ' Molly Lipscomb ', ' Virgiliu Midrigan ']"
 Theory and Measurement of Intangible Capital,A Reassessment of Real Business Cycle Theory,"[' Ellen R. McGrattan ', ' Edward C. Prescott ']"
 Theory and Measurement of Intangible Capital,Can Intangible Capital Explain Cyclical Movements in the Labor Wedge?,"[' François Gourio ', ' Leena Rudanko ']"
 Theory and Measurement of Intangible Capital,The Value and Ownership of Intangible Capital,"[' Andrea L. Eisfeldt ', ' Dimitris Papanikolaou ']"
 Econometrics: Identification and Structural Estimation,Weak Identification in Maximum Likelihood: A Question of Information,"[' Isaiah Andrews ', ' Anna Mikusheva ']"
 Econometrics: Identification and Structural Estimation,Physician Payment Reform and Hospital Referrals,"[' Kate Ho ', ' Ariel Pakes ']"
 Econometrics: Identification and Structural Estimation,Estimation of an Education Production Function under Random Assignment with Selection,"[' Eleanor Jawon Choi', ' Hyungsik Roger Moon ', ' Geert Ridder ']"
 Econometrics: Identification and Structural Estimation,Treatment Effects and Informative Missingness with an Application to Bank Recapitalization Programs,[' Angela Vossmeyer ']
 Macroeconomic Impact of Population Aging,The Determinants of the Macroeconomic Implications of Aging,[' Louise Sheiner ']
 Macroeconomic Impact of Population Aging,"Aging in Europe: Reforms, International Diversification, and Behavioral Reactions","[' Axel Börsch-Supan', ' Klaus Härtl ', ' Alexander Ludwig ']"
 Macroeconomic Impact of Population Aging,The Growing Gap in Life Expectancy: Using the Future Elderly Model to Estimate Implications for Social Security and Medicare,"[' Dana P. Goldman ', ' Peter R. Orszag ']"
 Macroeconomic Impact of Population Aging,Macroeconomic Consequences of Population Aging in the United States: Overview of a National Academy Report,[' Ronald D. Lee ']
" Innovation, Labor, and Wealth",Disparities in Wealth Accumulation and Loss from the Great Recession and Beyond,"[' Signe-Mary McKernan', ' Caroline Ratcliffe', ' Eugene Steuerle ', ' Sisi Zhang ']"
" Innovation, Labor, and Wealth",Gender and Business Outcomes of Black and Hispanic New Entrepreneurs in the United States,"[' Marie T. Mora ', ' Alberto Dávila ']"
" Innovation, Labor, and Wealth",Does the US Labor Market Reward International Experience?,[' Susan Pozo ']
" Innovation, Labor, and Wealth",Entrepreneurial Innovation: Killer Apps in the iPhone Ecosystem,"[' Pai-Ling Yin', ' Jason P. Davis ', ' Yulia Muzyrya ']"
 Developing Country Lessons for Advanced Economy Growth,Learning from the Doers: Developing Country Lessons for Advanced Economy Growth,"[' Anusha Chari ', ' Peter Blair Henry ']"
 Developing Country Lessons for Advanced Economy Growth,Forty Years of Leverage: What Have We Learned about Sovereign Debt?,"[' Peter Boone ', ' Simon Johnson ']"
 Developing Country Lessons for Advanced Economy Growth,Demand and Defective Growth Patterns: The Role of the Tradable and Non-tradable Sectors in an Open Economy,"[' Sandile Hlatshwayo ', ' Michael Spence ']"
 The Demand for Insurance in Developing Countries,"Rainfall Forecasts, Weather, and Wages over the Agricultural Production Cycle","[' Mark R. Rosenzweig ', ' Christopher Udry ']"
 The Demand for Insurance in Developing Countries,Dynamics of Demand for Index Insurance: Evidence from a Long-Run Field Experiment,"[' Shawn Cole', ' Daniel Stein ', ' Jeremy Tobacman ']"
 The Demand for Insurance in Developing Countries,Bundling Health Insurance and Microfinance in India: There Cannot Be Adverse Selection If There Is No Demand,"[' Abhijit Banerjee', ' Esther Duflo ', ' Richard Hornbeck ']"
 Gains from Trade When Firms Matter,"Together at Last: Trade Costs, Demand Structure, and Welfare","[' Monika Mrázová ', ' J. Peter Neary ']"
 Gains from Trade When Firms Matter,Monopolistic Competition and Optimum Product Selection,"[' Antonella Nocco', ' Gianmarco I. P. Ottaviano ', ' Matteo Salto ']"
