paper_title,author
Capital and Wealth in the Twenty-First Century,David N. Weil
Capital Taxation in the Twenty-First Century,Alan J. Auerbach
"Yes, r > g. So What?",N. Gregory Mankiw
About Capital in the Twenty-First Century,Thomas Piketty
Secular Stagnation: A Supply-Side View,Robert J. Gordon
Demand Side Secular Stagnation,Lawrence H. Summers
Secular Stagnation: The Long View,Barry Eichengreen
Gary Becker as Teacher,Kevin M. Murphy
Gary Becker: Model Economic Scientist,James J. Heckman
Gary Becker's Impact on Economics and Policy,Edward P. Lazear
Human Capital and Growth,Robert E. Lucas Jr.
Mathiness in the Theory of Economic Growth,Paul M. Romer
Lessons from Schumpeterian Growth Theory,Philippe Aghion
Globalization and Growth,Gene M. Grossman
Messaging and the Mandate: The Impact of Consumer Experience on Health Insurance Enrollment through Exchanges,Natalie Cox
Narrow Networks on the Health Insurance Exchanges: What Do They Look Like and How Do They Affect Pricing? A Case Study of Texas,Leemore Dafny
Measuring Consumer Valuation of Limited Provider Networks,Keith Marzilli Ericson
The Impact of Market Size and Composition on Health Insurance Premiums: Evidence from the First Year of the Affordable Care Act,Michael J. Dickstein
"The Effect of Unemployment Benefits on the Duration of Unemployment Insurance Receipt: New Evidence from a Regression Kink Design in Missouri, 2003-2013",David Card
Veterans' Labor Force Participation: What Role Does the VA's Disability Compensation Program Play?,Courtney Coile
"Earnings, Disposable Income, and Consumption of Allowed and Rejected Disability Insurance Applicants",Andreas Ravndal Kostøl
Recall Expectations and Duration Dependence,Arash Nekoei
The Great Recession and Credit Trends across Income Groups,Gene Amromin
Heterogeneity in the Impact of Economic Cycles and the Great Recession: Effects within and across the Income Distribution,Marianne Bitler
Changes in Safety Net Use during the Great Recession,Patricia M. Anderson
"Living Arrangements, Doubling Up, and the Great Recession: Was This Time Different?",Marianne Bitler
The Effect of Extended Unemployment Insurance Benefits: Evidence from the 2012-2013 Phase-Out,Henry S. Farber
Disability Insurance and the Great Recession,Nicole Maestas
Deconstructing the Energy-Efficiency Gap: Conceptual Frameworks and Evidence,Todd Gerarden
Tagging and Targeting of Energy Efficiency Subsidies,Hunt Allcott
Limited Attention and the Residential Energy Efficiency Gap,Karen Palmer
Individual Time Preferences and Energy Efficiency,Richard G. Newell
Are the Non-monetary Costs of Energy Efficiency Investments Large? Understanding Low Take-Up of a Free Energy Efficiency Program,Meredith Fowlie
Immigration Enforcement and Crime,Paolo Pinotti
Effects of Immigrant Legalization on Crime,Scott R. Baker
The Criminal Justice Response to Policy Interventions: Evidence from Immigration Reform,Sarah Bohn
The Long-Run Effect of Mexican Immigration on Crime in US Cities: Evidence from Variation in Mexican Fertility Rates,Aaron Chalfin
"Growth, Pollution, and Life Expectancy: China from 1991-2012",Avraham Ebenstein
"Satellites, Self-Reports, and Submersion: Exposure to Floods in Bangladesh",Raymond Guiteras
Pay as You Go: Prepaid Metering and Electricity Expenditures in South Africa,B. Kelsey Jack
Moving Up the Energy Ladder: The Effect of an Increase in Economic Well-Being on the Fuel Consumption Choices of the Poor in India,Rema Hanna
"Convergence in Adaptation to Climate Change: Evidence from High Temperatures and Mortality, 1900-2004",Alan Barreca
"Geography, Depreciation, and Growth",Solomon M. Hsiang
Tropical Economics,Solomon M. Hsiang
Federal Crop Insurance and the Disincentive to Adapt to Extreme Heat,Francis Annan
Why Don't Present-Biased Agents Make Commitments?,David Laibson
Present Bias: Lessons Learned and to Be Learned,Ted O'Donoghue
Judging Experimental Evidence on Dynamic Inconsistency,Charles Sprenger
"Loyalty, Exit, and Enforcement: Evidence from a Kenya Dairy Cooperative",Lorenzo Casaburi
Ex Post (In) Efficient Negotiation and Breakdown of Trade,Rajkamal Iyer
The Catch-22 of External Validity in the Context of Constraints to Firm Growth,Greg Fischer
The Market for Training Services: A Demand Experiment with Bangladeshi Garment Factories,Rocco Macchiavello
"Lending Booms, Smart Bankers, and Financial Crises",Anjan Thakor
Neglected Risks: The Psychology of Financial Crises,Nicola Gennaioli
"Do Strict Capital Requirements Raise the Cost of Capital? Bank Regulation, Capital Structure, and the Low-Risk Anomaly",Malcolm Baker
Does a Bank's History Affect Its Risk-Taking?,Christa H. S. Bouwman
"Why Do Firms Have ""Purpose""? The Firm's Role as a Carrier of Identity and Reputation",Rebecca Henderson
Organizational Culture and Performance,Elizabeth A. Martinez
"Corporate Culture, Societal Culture, and Institutions",Luigi Guiso
Understanding Ethnic Identity in Africa: Evidence from the Implicit Association Test (IAT),Sara Lowes
Religion and Innovation,Roland Bénabou
Measuring Vote-Selling: Field Evidence from the Philippines,Allen Hicken
"More Money, More Problems? Can High Pay Be Coercive and Repugnant?",Sandro Ambuehl
