session_title,paper_title,author
 Richard T. Ely Lecture,A Nation of Gamblers: Real Estate Speculation and American History,[' Edward L. Glaeser ']
 Reflections on the 100th Anniversary of The Federal Reserve,Glass-Steagall: A Requiem,[' Robert E. Lucas Jr. ']
 Reflections on the 100th Anniversary of The Federal Reserve,Shifting Mandates: The Federal Reserve's First Centennial,"[' Carmen M. Reinhart ', ' Kenneth S. Rogoff ']"
 Reflections on the 100th Anniversary of The Federal Reserve,The Most Dangerous Idea in Federal Reserve History: Monetary Policy Doesn't Matter,"[' Christina D. Romer ', ' David H. Romer ']"
 The Fiftieth Anniversary of Friedman and Schwartzâ€™s A Monetary History of the United States,Not Just the Great Contraction: Friedman and Schwartz's A Monetary History of the United States 1867 to 1960,"[' Michael D. Bordo ', ' Hugh Rockoff ']"
 The Fiftieth Anniversary of Friedman and Schwartzâ€™s A Monetary History of the United States,The Missing Transmission Mechanism in the Monetary Explanation of the Great Depression,"[' Christina D. Romer ', ' David H. Romer ']"
 The Fiftieth Anniversary of Friedman and Schwartzâ€™s A Monetary History of the United States,Shadowy Banks and Financial Contagion during the Great Depression: A Retrospective on Friedman and Schwartz,"[' Kris James Mitchener ', ' Gary Richardson ']"
" Culture, Institutions, and Historical Persistence","Married to Intolerance: Attitudes toward Intermarriage in Germany, 1900-2006","[' Nico Voigtländer ', ' Hans-Joachim Voth ']"
" Culture, Institutions, and Historical Persistence",The Transmission of Democracy: From the Village to the Nation-State,"[' Paola Giuliano ', ' Nathan Nunn ']"
" Culture, Institutions, and Historical Persistence",The Persistence of Inferior Cultural-Institutional Conventions,"[' Marianna Belloc ', ' Samuel Bowles ']"
" Work and Search in Recessions: Theory, History, and Measurement",Cyclical Variation in Labor Hours and Productivity Using the ATUS,"[' Michael C. Burda', ' Daniel S. Hamermesh ', ' Jay Stewart ']"
" Work and Search in Recessions: Theory, History, and Measurement",Comparisons of Weekly Hours over the Past Century and the Importance of Work-Sharing Policies in the 1930s,"[' Todd C. Neumann', ' Jason E. Taylor ', ' Price Fishback ']"
" Work and Search in Recessions: Theory, History, and Measurement",The Life-Cycle Profile of Time Spent on Job Search,"[' Mark Aguiar', ' Erik Hurst ', ' Loukas Karabarbounis ']"
 Effects of Fiscal Policy in Deep Recessions: Simple and Hopefully Credible Empirical Evidence,Growth Forecast Errors and Fiscal Multipliers,"[' Olivier J. Blanchard ', ' Daniel Leigh ']"
 Effects of Fiscal Policy in Deep Recessions: Simple and Hopefully Credible Empirical Evidence,Using State Pension Shocks to Estimate Fiscal Multipliers since the Great Recession,[' Daniel Shoag ']
 Effects of Fiscal Policy in Deep Recessions: Simple and Hopefully Credible Empirical Evidence,How Much Would US Style Fiscal Integration Buffer European Unemployment and Income Shocks? (A Comparative Empirical Analysis),"[' James Feyrer ', ' Bruce Sacerdote ']"
 Effects of Fiscal Policy in Deep Recessions: Simple and Hopefully Credible Empirical Evidence,Are Government Spending Multipliers Greater during Periods of Slack? Evidence from Twentieth-Century Historical Data,"[' Michael T. Owyang', ' Valerie A. Ramey ', ' Sarah Zubairy ']"
 Global Macro Policy and the Great Recession,"The Mystique Surrounding the Central Bank's Balance Sheet, Applied to the European Crisis",[' Ricardo Reis ']
 Global Macro Policy and the Great Recession,Output Spillovers from Fiscal Policy,"[' Alan J. Auerbach ', ' Yuriy Gorodnichenko ']"
 Global Macro Policy and the Great Recession,Forecasting the Recovery from the Great Recession: Is This Time Different?,"[' Kathryn M. E. Dominguez ', ' Matthew D. Shapiro ']"
 Extreme Wage Inequality: Evidence and Policy Responses,Extreme Wage Inequality: Pay at the Very Top,"[' Brian D. Bell ', ' John Van Reenen ']"
 Extreme Wage Inequality: Evidence and Policy Responses,"Family, Education, and Sources of Wealth among the Richest Americans, 1982-2012","[' Steven N. Kaplan ', ' Joshua D. Rauh ']"
 Extreme Wage Inequality: Evidence and Policy Responses,Bailouts and the Optimal Taxation of Bonus Pay,"[' Timothy Besley ', ' Maitreesh Ghatak ']"
 Perspectives on Inequality and Mobility in the US,"Income Inequality, Mobility, and Turnover at the Top in the US, 1987-2010","[' Gerald Auten', ' Geoffrey Gee ', ' Nicholas Turner ']"
 Perspectives on Inequality and Mobility in the US,Deconstructing Income and Income Inequality Measures: A Crosswalk from Market Income to Comprehensive Income,"[' Philip Armour', ' Richard V. Burkhauser ', ' Jeff Larrimore ']"
 Perspectives on Inequality and Mobility in the US,Consumption and Income Inequality and the Great Recession,"[' Bruce D. Meyer ', ' James X. Sullivan ']"
 Perspectives on Inequality and Mobility in the US,Measuring the Trends in Inequality of Individuals and Families: Income and Consumption,"[' Jonathan D. Fisher', ' David S. Johnson ', ' Timothy M. Smeeding ']"
 High Skill Immigration in the US,The Scale and Selectivity of Foreign-Born PhD Recipients in the US,"[' Jeffrey Grogger ', ' Gordon Hanson ']"
 High Skill Immigration in the US,Immigration and Employer Transitions for STEM Workers,"[' Sari Pekkala Kerr ', ' William R. Kerr ']"
 High Skill Immigration in the US,Why Do Programmers Earn More in Houston Than Hyderabad? Evidence from Randomized Processing of US Visas,[' Michael A. Clemens ']
 High Skill Immigration in the US,Pathways to Adjustment: The Case of Information Technology Workers,"[' John Bound', ' Breno Braga', ' Joseph M. Golden ', ' Sarah Turner ']"
 International Trade and Labor Markets,A Trapped-Factors Model of Innovation,"[' Nicholas Bloom', ' Paul M. Romer', ' Stephen J. Terry ', ' John Van Reenen ']"
 International Trade and Labor Markets,Sources of Wage Inequality,"[' Anders Akerman', ' Elhanan Helpman', ' Oleg Itskhoki', ' Marc-Andreas Muendler ', ' Stephen Redding ']"
 International Trade and Labor Markets,The Geography of Trade and Technology Shocks in the United States,"[' David H. Autor', ' David Dorn ', ' Gordon H. Hanson ']"
 Neighborhood Effects and Place Based Policies,Long-Term Neighborhood Effects on Low-Income Families: Evidence from Moving to Opportunity,"[' Jens Ludwig', ' Greg J. Duncan', ' Lisa A. Gennetian', ' Lawrence F. Katz', ' Ronald C. Kessler', ' Jeffrey R. Kling ', ' Lisa Sanbonmatsu ']"
 Neighborhood Effects and Place Based Policies,Achieving Escape Velocity: Neighborhood and School Interventions to Reduce Persistent Inequality,"[' Rol', 'G. Fryer Jr. ', ' Lawrence F. Katz ']"
 Neighborhood Effects and Place Based Policies,Place Based Policies with Unemployment,"[' Patrick Kline ', ' Enrico Moretti ']"
 Work on Women's Work is Never Done,"Career, Family, and the Well-Being of College-Educated Women","[' Marianne Bertr', '']"
 Work on Women's Work is Never Done,Female Labor Supply: Why Is the United States Falling Behind?,"[' Francine D. Blau ', ' Lawrence M. Kahn ']"
 Work on Women's Work is Never Done,Shocking Labor Supply: A Reassessment of the Role of World War II on Women's Labor Supply,"[' Claudia Goldin ', ' Claudia Olivetti ']"
 The Economics of Gender,Is Ignorance Bliss? The Effect of Asymmetric Information between Spouses on Intra-household Allocations,"[' Carolina Castilla ', ' Thomas Walker ']"
 The Economics of Gender,Trade Liberalization and Gender Inequality,"[' Chinhui Juhn', ' Gergely Ujhelyi ', ' Carolina Villegas-Sanchez ']"
 The Economics of Gender,Sexual Violence against Women and Labor Market Outcomes,"[' Joseph J. Sabia', ' Angela K. Dills ', ' Jeffrey DeSimone ']"
 The Economics of Gender,The Effects of School Calendar Type on Maternal Employment across Racial Groups: A Story of Child Care Availability,[' Jennifer Graves ']
 Gender and Development,The Impact of Crime and Insecurity on Trust in Democracy and Institutions,"[' Luisa Blanco ', ' Isabel Ruiz ']"
 Gender and Development,Earnings Inequality and the Intersectionality of Gender and Ethnicity in Sub-Saharan Africa: The Case of Tanzanian Manufacturing,"[' Juliet U. Elu ', ' Linda Loubert ']"
 Gender and Development,Access to Credit by Firms in Sub-Saharan Africa: How Relevant Is Gender?,"[' Elizabeth Asiedu', ' Isaac Kalonda-Kanyama', ' Leonce Ndikumana ', ' Akwasi Nti-Addae ']"
 Gender and Development,Fidelity Networks and Long-Run Trends in HIV/AIDS Gender Gaps,"[' Rol', 'Pongou ', ' Roberto Serrano ']"
 Environmental Policy in Developing Countries,The Informational Role of Voluntary Certification: Evidence from the Mexican Clean Industry Program,"[' Andrew D. Foster ', ' Emilio Gutierrez ']"
 Environmental Policy in Developing Countries,Liquidity Constraints and Deforestation: The Limitations of Payments for Ecosystem Services,[' Seema Jayachandran ']
 Environmental Policy in Developing Countries,What Does Reputation Buy? Differentiation in a Market for Third-Party Auditors,"[' Esther Duflo', ' Michael Greenstone', ' Rohini Pande ', ' Nicholas Ryan ']"
 Impacts of Unilateral Climate Change Policy,A Numerical Investigation of the Potential for Negative Emissions Leakage,"[' Niven Winchester ', ' Sebastian Rausch ']"
 Impacts of Unilateral Climate Change Policy,Linking Numerical and Analytical Models of Carbon Leakage,[' Jared C. Carbone ']
 Impacts of Unilateral Climate Change Policy,"Leakage, Welfare, and Cost-Effectiveness of Carbon Policy","[' Kathy Baylis', ' Don Fullerton ', ' Daniel H. Karney ']"
 Forty Years Since the 1973 OPEC Embargo: US Energy Policy and Lessons for the Future,Natural Gas: From Shortages to Abundance in the United States,[' Paul L. Joskow ']
 Forty Years Since the 1973 OPEC Embargo: US Energy Policy and Lessons for the Future,Transportation Fuels Policy since the OPEC Embargo: Paved with Good Intentions,[' Christopher R. Knittel ']
 Forty Years Since the 1973 OPEC Embargo: US Energy Policy and Lessons for the Future,Efficient Retail Pricing in Electricity and Natural Gas Markets,"[' Steven L. Puller ', ' Jeremy West ']"
 Money Management by Households and Firms in Kenya,Transaction Networks: Evidence from Mobile Money in Kenya,"[' William Jack', ' Adam Ray ', ' Tavneet Suri ']"
 Money Management by Households and Firms in Kenya,Behavioral Biases and Firm Behavior: Evidence from Kenyan Retail Shops,"[' Michael Kremer', ' Jean Lee', ' Jonathan Robinson ', ' Olga Rostapshova ']"
 Money Management by Households and Firms in Kenya,"The Home Economics of E-Money: Velocity, Cash Management, and Discount Rates of M-Pesa Users","[' Isaac Mbiti ', ' David N. Weil ']"
 Financial Markets and Economic Development,"Informal Risk Sharing, Index Insurance, and Risk Taking in Developing Countries","[' Ahmed Mushfiq Mobarak ', ' Mark R. Rosenzweig ']"
 Financial Markets and Economic Development,Profitability of Fertilizer: Experimental Evidence from Female Rice Farmers in Mali,"[' Lori Beaman', ' Dean Karlan', ' Bram Thuysbaert ', ' Christopher Udry ']"
 Financial Markets and Economic Development,"Deposit Collecting: Unbundling the Role of Frequency, Salience, and Habit Formation in Generating Savings","[' Suresh de Mel', ' Craig McIntosh ', ' Christopher Woodruff ']"
" Speculation, Insurance, and Financial Regulation",Benefit-Cost Analysis for Financial Regulation,"[' Eric Posner ', ' E. Glen Weyl ']"
" Speculation, Insurance, and Financial Regulation",Financial Innovation and Portfolio Risks,[' Alp Simsek ']
" Speculation, Insurance, and Financial Regulation",Reflections on Finance and the Good Society,[' Robert J. Shiller ']
" Speculation, Insurance, and Financial Regulation",Can Financial Engineering Cure Cancer?,"[' David E. Fagnan', ' Jose Maria Fernandez', ' Andrew W. Lo ', ' Roger M. Stein ']"
" Topics in Human Capital: Education, Job Training, and Health",Health Care Usage and Health Status of Immigrant Children: The Effects of Nativity versus Citizenship,[' Mónica García-Pérez ']
" Topics in Human Capital: Education, Job Training, and Health",The Effects of Job Corps Training on Wages of Adolescents and Young Adults,"[' German Blanco', ' Carlos A. Flores ', ' Alfonso Flores-Lagunes ']"
" Topics in Human Capital: Education, Job Training, and Health",The Poverty Gap in School Spending Following the Introduction of Title I,"[' Elizabeth U. Cascio ', ' Sarah Reber ']"
" Topics in Human Capital: Education, Job Training, and Health",Achieving the DREAM: The Effect of IRCA on Immigrant Youth Postsecondary Educational Access,[' Kalena E. Cortes ']
 HIV and Behavior Change,HIV Risk and Adolescent Behaviors in Africa,"[' Anne Case ', ' Christina Paxson ']"
 HIV and Behavior Change,Learning from Others' HIV Testing: Updating Beliefs and Responding to Risk,"[' Susan Godlonton ', ' Rebecca L. Thornton ']"
 HIV and Behavior Change,Do Sex Workers Respond to Disease? Evidence from the Male Market for Sex,[' Manisha Shah ']
 The Economics of Health,"Inheritances, Intergenerational Transfers, and the Accumulation of Health",[' Katherine Grace Carman ']
 The Economics of Health,Adult Antiretroviral Therapy and Child Health: Evidence from Scale-Up in Zambia,"[' Adrienne M. Lucas ', ' Nicholas L. Wilson ']"
 The Economics of Health,SSI for Disabled Immigrants: Why Do Ethnic Networks Matter?,"[' Delia Furtado ', ' Nikolaos Theodoropoulos ']"
 The Economics of Health,Boys' Cognitive Skill Formation and Physical Growth: Long-Term Experimental Evidence on Critical Ages for Early Childhood Interventions,"[' Tania Barham', ' Karen Macours ', ' John A. Maluccio ']"
 Estate and Gift Taxation,Incentive Effects of Inheritances and Optimal Estate Taxation,[' Wojciech Kopczuk ']
 Estate and Gift Taxation,The Estate Tax and Inter Vivos Transfers over Time,[' Kathleen McGarry ']
 Estate and Gift Taxation,Income and Substitution Effects of Estate Taxation,[' James R. Hines Jr. ']
 Optimal Taxation and Social Insurance,Estate Taxation with Altruism Heterogeneity,"[' Emmanuel Farhi ', ' Iván Werning ']"
 Optimal Taxation and Social Insurance,Optimal Progressive Labor Income Taxation and Education Subsidies When Education Decisions and Intergenerational Transfers Are Endogenous,"[' Dirk Krueger ', ' Alexander Ludwig ']"
 Optimal Taxation and Social Insurance,Optimal Pension Systems with Simple Instruments,"[' Mikhail Golosov', ' Ali Shourideh', ' Maxim Troshkin ', ' Aleh Tsyvinski ']"
 Economics of National Security,Some Basic Economics of National Security,"[' Kevin M. Murphy ', ' Robert H. Topel ']"
 Economics of National Security,"Modest, Secure, and Informed: Successful Development in Conflict Zones","[' Eli Berman', ' Joseph H. Felter', ' Jacob N. Shapiro ', ' Erin Trol', '']"
 Economics of National Security,Insurgent Compensation: Evidence from Iraq,"[' Benjamin W. Bahney', ' Radha K. Iyengar', ' Patrick B. Johnston', ' Danielle F. Jung', ' Jacob N. Shapiro ', ' Howard J. Shatz ']"
 Economics of National Security,An Analysis of Economic Warfare,[' Jeffrey Clemens ']
 New Challenges for Growth in Historical Perspective,Genetic Diversity and the Origins of Cultural Fragmentation,"[' Quamrul Ashraf ', ' Oded Galor ']"
 New Challenges for Growth in Historical Perspective,"Social Organizations, Violence, and Modern Growth","[' Avner Greif ', ' Murat Iyigun ']"
