session_title,paper_title,author
 Contents,Foreword,[' Olivier Blanchard ']
 Contents,Editors' Introduction,"[' William R. Johnson ', ' Kelly Markel ']"
 Richard T. Ely Lecture,"Private Paternalism, the Commitment Puzzle, and Model-Free Equilibrium",[' David Laibson ']
 Advances in Big Data Research in Economics,Algorithmic Fairness,"[' Jon Kleinberg', ' Jens Ludwig', ' Sendhil Mullainathan ', ' Ashesh Rambachan ']"
 Radically Rethinking Economic Policy,Welfarism's Envy Problem Extends to Popular Judgments,[' Matthew Weinzierl ']
 Radically Rethinking Economic Policy,Quadratic Voting: How Mechanism Design Can Radicalize Democracy,"[' Steven P. Lalley ', ' E. Glen Weyl ']"
 Radically Rethinking Economic Policy,"Should We Treat Data as Labor? Moving beyond ""Free""","[' Imanol Arrieta-Ibarra', ' Leonard Goff', ' Diego Jiménez-Hernández', ' Jaron Lanier ', ' E. Glen Weyl ']"
 Economic Consequences of Artificial Intelligence and Robotics,"What Can Machines Learn, and What Does It Mean for Occupations and the Economy?","[' Erik Brynjolfsson', ' Tom Mitchell ', ' Daniel Rock ']"
 Economic Consequences of Artificial Intelligence and Robotics,Modeling Automation,"[' Daron Acemoglu ', ' Pascual Restrepo ']"
 Economic Consequences of Artificial Intelligence and Robotics,A Method to Link Advances in Artificial Intelligence to Occupational Abilities,"[' Edward W. Felten', ' Manav Raj ', ' Robert Seamans ']"
 Economic Consequences of Artificial Intelligence and Robotics,Human Judgment and AI Pricing,"[' Ajay Agrawal', ' Joshua S. Gans ', ' Avi Goldfarb ']"
 Economic Applications of Machine Learning,Estimating Heterogeneous Consumer Preferences for Restaurants and Travel Time Using Mobile Location Data,"[' Susan Athey', ' David Blei', ' Robert Donnelly', ' Francisco Ruiz ', ' Tobias Schmidt ']"
 Economic Applications of Machine Learning,The Potential of Digital Credit to Bank the Poor,"[' Daniel Björkegren ', ' Darrell Grissen ']"
 Economic Applications of Machine Learning,Estimating Economic Characteristics with Phone Data,[' Joshua E. Blumenstock ']
 Economic Applications of Machine Learning,Nowcasting Gentrification: Using Yelp Data to Quantify Neighborhood Change,"[' Edward L. Glaeser', ' Hyunjin Kim ', ' Michael Luca ']"
 Policy Implications of Suboptimal Choice: Theory and Evidence,Misperceptions about Tax Audits,"[' Marcelo Bérgolo', ' Rodrigo Ceni', ' Guillermo Cruces', ' Matias Giaccobasso ', ' Ricardo Perez-Truglia ']"
 Policy Implications of Suboptimal Choice: Theory and Evidence,Ramsey Strikes Back: Optimal Commodity Tax and Redistribution in the Presence of Salience Effects,"[' Hunt Allcott', ' Benjamin Lockwood ', ' Dmitry Taubinsky ']"
 Policy Implications of Suboptimal Choice: Theory and Evidence,Can Information Change Personal Retirement Savings? Evidence from Social Security Benefits Statement Mailings,"[' Susan Payne Carter ', ' William Skimmyhorn ']"
 Policy Implications of Suboptimal Choice: Theory and Evidence,Rationalizations and Mistakes: Optimal Policy with Normative Ambiguity,"[' Jacob Goldin ', ' Daniel Reck ']"
 Global Inequality and Policy,The Elephant Curve of Global Inequality and Growth,"[' Facundo Alvaredo', ' Lucas Chancel', ' Thomas Piketty', ' Emmanuel Saez ', ' Gabriel Zucman ']"
 Global Inequality and Policy,From Communism to Capitalism: Private versus Public Property and Inequality in China and Russia,"[' Filip Novokmet', ' Thomas Piketty', ' Li Yang ', ' Gabriel Zucman ']"
 Global Inequality and Policy,Applying Generalized Pareto Curves to Inequality Analysis,"[' Thomas Blanchet', ' Bertr', 'Garbinti', ' Jonathan Goupille-Lebret ', ' Clara Martínez-Toledano ']"
 Global Inequality and Policy,"Extreme Inequality: Evidence from Brazil, India, the Middle East, and South Africa","[' Lydia Assouad', ' Lucas Chancel ', ' Marc Morgan ']"
 Climate Policy and Trade,Challenges in the Measurement of Leakage Risk,"[' Meredith Fowlie ', ' Mar Reguant ']"
 Climate Policy and Trade,How Trade Sensitive Are Energy-Intensive Sectors?,"[' Carolyn Fischer ', ' Alan K. Fox ']"
 Climate Policy and Trade,Regulating Mismeasured Pollution: Implications of Firm Heterogeneity for Environmental Policy,"[' Eva Lyubich', ' Joseph Shapiro ', ' Reed Walker ']"
 Mental Accounting,Is Altruism Sensitive to Scope? The Role of Tangibility,"[' Alex Imas ', ' George Loewenstein ']"
 Mental Accounting,Mental Budgeting versus Relative Thinking,"[' Samuel Hirshman', ' Devin Pope ', ' Jihong Song ']"
 Mental Accounting,When Nudges Are Forever: Inertia in the Swedish Premium Pension Plan,"[' Henrik Cronqvist', ' Richard H. Thaler ', ' Frank Yu ']"
