session_title,paper_title,author
 Contents,Foreword,[' Alvin E. Roth ']
 Contents,Editors' Introduction,"[' William R. Johnson ', ' Kelly Markel ']"
 Richard T. Ely Lecture,Richard T. Ely Lecture: The Economist as Plumber,[' Esther Duflo ']
 Replication in Microeconomics,Assessing the Rate of Replication in Economics,"[' James Berry', ' Lucas C. Coffman', ' Douglas Hanley', ' Rania Gihleb ', ' Alistair J. Wilson ']"
 Replication in Microeconomics,Replications in Development Economics,[' Sandip Sukhtankar ']
 Replication in Microeconomics,"Replication in Labor Economics: Evidence from Data, and What It Suggests",[' Daniel S. Hamermesh ']
 Replication in Microeconomics,A Proposal to Organize and Promote Replications,"[' Lucas C. Coffman', ' Muriel Niederle ', ' Alistair J. Wilson ']"
" Replication and Ethics in Economics: Thirty Years after Dewald, Thursby, and Anderson","What Is Meant by ""Replication"" and Why Does It Encounter Resistance in Economics?","[' Maren Duvendack', ' Richard Palmer-Jones ', ' W. Robert Reed ']"
" Replication and Ethics in Economics: Thirty Years after Dewald, Thursby, and Anderson",Replication and Economics Journal Policies,[' Jan H. Höffler ']
" Replication and Ethics in Economics: Thirty Years after Dewald, Thursby, and Anderson","Replication, Meta-analysis, and Research Synthesis in Economics","[' Richard G. Anderson ', ' Areerat Kichkha ']"
" Replication and Ethics in Economics: Thirty Years after Dewald, Thursby, and Anderson",A Preanalysis Plan to Replicate Sixty Economics Research Papers That Worked Half of the Time,"[' Andrew C. Chang ', ' Phillip Li ']"
" Institutions, Morals, and Markets","Groupy versus Non-Groupy Social Preferences: Personality, Region, and Political Party","[' Rachel E. Kranton ', ' Seth G. Sanders ']"
" Institutions, Morals, and Markets",Altruistic Capital,"[' Nava Ashraf ', ' Oriana Bandiera ']"
" Institutions, Morals, and Markets",Economic Development and the Regulation of Morally Contentious Activities,"[' Julio J. Elías', ' Nicola Lacetera', ' Mario Macis ', ' Paola Salardi ']"
" Institutions, Morals, and Markets",Challenges in Constructing a Survey-Based Well-Being Index,"[' Daniel J. Benjamin', ' Kristen B. Cooper', ' Ori Heffetz ', ' Miles Kimball ']"
 Understanding Moral Repugnance in Markets,Repugnance Management and Transactions in the Body,"[' Kieran Healy ', ' Kimberly D. Krawiec ']"
 Understanding Moral Repugnance in Markets,The Ethics of Incentivizing the Uninformed: A Vignette Study,"[' Sandro Ambuehl ', ' Axel Ockenfels ']"
 Understanding Moral Repugnance in Markets,Sacred versus Pseudo-sacred Values: How People Cope with Taboo Trade-Offs,"[' Philip E. Tetlock', ' Barbara A. Mellers ', ' J. Peter Scoblic ']"
 Gender Agenda,Quantifying the Disincentive Effects of Joint Taxation on Married Women's Labor Supply,"[' Alexander Bick ', ' Nicola Fuchs-Schündeln ']"
 Gender Agenda,Cross-Country Evidence on the Relationship between Overwork and Skilled Women's Job Choices,"[' Patricia Cortes ', ' Jessica Pan ']"
 Gender Agenda,The Expanding Gender Earnings Gap: Evidence from the LEHD-2000 Census,"[' Claudia Goldin', ' Sari Pekkala Kerr', ' Claudia Olivetti ', ' Erling Barth ']"
 Gender Agenda,A Gender Agenda: A Progress Report on Competitiveness,[' Muriel Niederle ']
 Understanding Gender Differences in Labor Market Outcomes: Experimental Evidence,Trumping Norms: Lab Evidence on Aggressive Communication before and after the 2016 US Presidential Election,"[' Jennie Huang ', ' Corinne Low ']"
 Understanding Gender Differences in Labor Market Outcomes: Experimental Evidence,"Gender, Competitiveness, and Study Choices in High School: Evidence from Switzerland","[' Thomas Buser', ' Noemi Peter ', ' Stefan C. Wolter ']"
 Understanding Gender Differences in Labor Market Outcomes: Experimental Evidence,Gender Differences in the Allocation of Low-Promotability Tasks: The Role of Backlash,"[' Linda Babcock', ' Maria P. Recalde ', ' Lise Vesterlund ']"
 Understanding Gender Differences in Labor Market Outcomes: Experimental Evidence,No Gender Difference in Willingness to Compete When Competing against Self,"[' Coren L. Apicella', ' Elif E. Demiral ', ' Johanna Mollerstrom ']"
 The Economics of Gender,Recognition for Group Work: Gender Differences in Academia,[' Heather Sarsons ']
 The Economics of Gender,Shopping While Female: Who Pays Higher Prices and Why?,[' Anne Fitzpatrick ']
 The Economics of Gender,"Women's Inheritance Rights, Household Allocation, and Gender Bias","[' Nayana Bose ', ' Shreyasee Das ']"
" Marriage Market: Formation, Selection, and Policy Effects",Assortative Matching under Asymmetric Information: Evidence from Malawi,"[' Manuela Angelucci ', ' Daniel Bennett ']"
" Marriage Market: Formation, Selection, and Policy Effects",The Role of Marriage in Fighting HIV: A Quantitative Illustration for Malawi,"[' Jeremy Greenwood', ' Philipp Kircher', ' Cezar Santos ', ' Michèle Tertilt ']"
