paper_title,author
The Impact of Big Data on Firm Performance: An Empirical Investigation,Patrick Bajari
Big Data and Firm Dynamics,Maryam Farboodi
Empirical Bayes Estimation of Treatment Effects with Many A/B Tests: An Overview,Eduardo M. Azevedo
Mobile Wallet and Entrepreneurial Growth,Sumit Agarwal
Generational Differences in Managing Personal Finances,Bruce Carlin
How FinTech Enters China's Credit Market,Harald Hau
Ensemble Methods for Causal Effects in Panel Data Settings,Susan Athey
Augmenting Pre-Analysis Plans with Machine Learning,Jens Ludwig
Mastering Panel Metrics: Causal Impact of Democracy on Growth,Shuowen Chen
Currency Substitution under Transaction Costs,Linda M. Schilling
"Blockchains, Coordination, and Forks",Bruno Biais
An Economist's Perspective on the Bitcoin Payment System,Gur Huberman
Price Discovery in Cryptocurrency Markets,Igor Makarov
Does Maternal Education Decrease Female Genital Cutting?,Elisabetta De Cao
Gender Equality and Positive Action: Evidence from UK Universities,Danula K. Gamage
Does Simple Information Provision Lead to More Diverse Classrooms? Evidence from a Field Experiment on Undergraduate Economics,Amanda Bayer
The Gender Socialization of Children Growing Up in Nontraditional Families,Marianne Bertrand
Child Penalties across Countries: Evidence and Explanations,Henrik Kleven
"Parental Aspirations for Children's Education: Is There a ""Girl Effect""? Experimental Evidence from Rural Ethiopia",Tanguy Bernard
"Entertainment, Education, and Attitudes Toward Domestic Violence",Abhijit Banerjee
Changing Family Attitudes to Promote Female Employment,Joshua T. Dean
"Now You See Me, Now You Don't: The Geography of Police Stops",Jesse J. Kalinowski
Using Shifts in Deployment and Operations to Test for Racial Bias in Police Stops,John M. MacDonald
Police Use of Force as an Extension of Arrests: Examining Disparities across Civilian and Officer Race,Emily K. Weisburst
The Introduction of Tasers and Police Use of Firearms: Evidence from the Chicago Police Department,Bocar Ba
Disenfranchisement and Economic Inequality: Downstream Effects of Shelby County v. Holder,Abhay P. Aneja
Labor Market Conditions and Discrimination: Is There a Link?,Karl David Boulware
Student Debt and Labor Market Outcomes,Gerald Eric Daniels Jr.
"Minimum Wages, Morality, and Efficiency: A Choice Experiment",Conor Lennon
The Burgeoning Health Care Needs of Aging Prisoners,Hessam Bavafa
Examining Medicaid Expansion and the Treatment of Substance Use Disorders,Jevay Grooms
"Drug Violence, Immigration Enforcement, and Selectivity: Evidence from Mexican Immigrants",Heriberto Gonzalez-Lozano
The Child Left Behind: Parental Incarceration and Adult Human Capital in the United States,Laura E. Henkhaus
How (Not) to Allocate Affordable Housing,Nick Arnosti
Matching with Stochastic Arrival,Neil Thakral
A Reason to Wait: The Effect of Legal Status on Teen Pregnancy,Elira Kuka
A Cautionary Tale about Emergency Financial Assistance without Services: Evidence from a Randomized Controlled Trial Evaluation at a Community College,William N. Evans
Attainment Effects of Student Loans and Pell Grants,Benjamin M. Marx
Exploring Variation in College Counselor Effectiveness,Andrew Barr
"The Right to Education Act: Trends in Enrollment, Test Scores, and School Quality",Manisha Shah
US Criminal Deportations and Human Capital in Central America,Maria Micaela Sviatschi
Intergenerational Human Capital Spillovers: Indonesia's School Construction and Its Effects on the Next Generation,Bhashkar Mazumder
Toward the Next Generation of Scholarship: Challenges and Opportunities for Full Participation in PhD Training in Economics,Thomas D. Jeitschko
The Gender Gap in Undergraduate Economics Course Persistence and Degree Selection,Laura J. Ahlstrom
Gender Bias and Temporal Effects in Standard Evaluations of Teaching,Whitney Buser
Grades in Economics and Other Undergraduate Courses,William Walstad
Does Environmental Policy Affect Income Inequality? Evidence from the Clean Air Act,Akshaya Jha
Discrimination in Ambient Air Pollution Monitoring?,Corbett Grainger
Bringing Satellite-Based Air Quality Estimates Down to Earth,Meredith Fowlie
Simplified Distributional National Accounts,Thomas Piketty
Unequal Distributions: EG DNA versus DINA Approach,Jorrit Zwijnenburg
Improving the Measure of the Distribution of Personal Income,Dennis Fixler
Top 1 Percent Income Shares: Comparing Estimates Using Tax Data,Gerald Auten
Fading Stars,Germán Gutiérrez
Measuring Labor Market Power Two Ways,José Azar
Common Ownership and the Secular Stagnation Hypothesis,José Azar
Four Years Later: Insurance Coverage and Access to Care Continue to Diverge between ACA Medicaid Expansion and Non-Expansion States,Sarah Miller
Does Elite Capture Matter? Local Elites and Targeted Welfare Programs in Indonesia,Vivi Alatas
Long-Term Treatment Effects of Job Search Assistance and Training: A Summary of Recent Evidence,Day Manoli
A Well-Being Snapshot in a Changing World,Daniel J. Benjamin
Economic Institutions and Social Progress,Daniel C. Fehder
The Rise of the Gig Economy: Fact or Fiction?,Katharine G. Abraham
The Evolution of the Online Platform Economy: Evidence from Five Years of Banking Data,Diana Farrell
What Do Big Data Tell Us about Why People Take Gig Economy Jobs?,Dmitri K. Koustas
Older Workers and the Gig Economy,Cody Cook
Who Pays for Rent Control? Heterogeneous Landlord Response to San Francisco's Rent Control Expansion,Rebecca Diamond
Ending Rent Control Reduced Crime in Cambridge,David H. Autor
The Effects of Second-Generation Rent Control on Land Values,Andreas Mense
Spatial Misallocation and Rent Controls,Guillaume Chapelle
Housing Supply Dynamics under Rent Control: What Can Evictions Tell Us?,Brian J. Asquith
Why the Economics Profession Must Actively Participate in the Privacy Protection Debate,John M. Abowd
Differential Privacy and Census Data: Implications for Social and Economic Research,Steven Ruggles
Reconciling Data Access and Privacy: Building a Sustainable Model for the Future,Katharine G. Abraham
A Practical Method to Reduce Privacy Loss When Disclosing Statistics Based on Small Samples,Raj Chetty
Monetary Policy Strategies for a Low-Rate Environment,Ben S. Bernanke
Monetary Policy Frameworks and the Effective Lower Bound on Interest Rates,Thomas M. Mertens
Policy Options at the Zero Lower Bound When Foresight is Limited,Michael Woodford
Minding Your Ps and Qs: Going from Micro to Macro in Measuring Prices and Quantities,Gabriel Ehrlich
Measuring Productivity: Lessons from Tailored Surveys and Productivity Benchmarking,David Atkin
Aggregation and the Gravity Equation,Stephen J. Redding
New Evidence on the Cyclicality of Employer-to-Employer Flows from Canada,Alice Nakamura
Flow Origins of Labor Force Participation Fluctuations,Michael Elsby
