"first_name","author","paper_title","author_affiliation","date","time","location","association","session_title","session_jel_code","session_chair","session_chair_affiliation","discussant_1","discussant_1_affiliation","discussant_2","discussant_2_affiliation","discussant_3","discussant_3_affiliation","discussant_4","discussant_4_affiliation","discussant_5","discussant_5_affiliation","firstname","total_male","total_female","prob_male","prob_female","total_names","male_75","female_75","male_95","female_95"
"Aaron","Aaron Pacitti","Is a Fair Labor Market Compatible with Full Employment and Price Stability? An Empirical Analysis of the Social Bargain","Siena College","Jan 05 2013","8:00 AM","Marriott, Newport Beach","Union for Radical Political Economists","Labor Markets and the Great Recession","E2","Aaron Pacitti","Siena College","Michael Murray","Bemidji State University","Arindam Mandal","Siena College","Aaron Pacitti","Siena College","Jennifer Cohen","Whitman College","","","AARON",880,1,0.9988649,0.0011351,881,1,0,1,0
"Abdullah","Abdullah Yavas","Commission Splits in Real Estate Transactions","University of Wisconsin-Madison","Jan 06 2013","1:00 PM","Marriott, Rancho Santa Fe 2","American Real Estate & Urban Economic Association","Real Estate Market Microstructure","G1","Richard Buttimer","University of North Carolina at Charlotte","Richard Buttimer","University of North Carolina-Charlotte","Brent Ambrose","Pennsylvania State University","Philip Seagraves","University of Wisconsin-Whitewater","Steve Billings","University of North Carolina-Charlotte","","","ABDULLAH",26,0,1,0,26,1,0,1,0
"Abdur","Abdur Chowdhury","Do Curbing Corruption Complement Financial Development in Reducing Income Inequality?","Marquette University","Jan 05 2013","10:15 AM","Marriott, Orlando","Association of Indian Economics & Financial Studies","Is There a Policy Paralysis?","O2","Amitrajeet Batabyal","Rochester Institute of Technology","Kalyan Chakraborty","Emporia State University","Keshab Bhattarai","University of Hull","Raja Kali","HEC, Montreal","Anil Kumar","Federal Reserve Bank of Dallas","Kusum Mundra","Rutgers University","ABDUR",5,0,1,0,5,1,0,1,0
"Abena","Abena Oduro","Ownership of Assets by Parents and School Enrollment: Evidence from Ghana","University of Ghana","Jan 05 2013","2:30 PM","Marriott, Miramar","International Association for Feminist Economics","Gendered Education and Migration","J1","Elissa Braunstein","Colorado State University","Xiao-yuan Dong","University of Winnipeg","Jill Rubery","University of Manchester","","","","","","","ABENA",0,24,0,1,24,0,1,0,1
"Abhijit","Abhijit V. Banerjee","Diffusion of Microfinance","Massachusetts Institute of Technology","Jan 04 2013","2:30 PM","Hyatt, Gibbons","Econometric Society","Household, Microenterprise and Agricultural Finance in Developing Countries","D1","Manuel Hernandez","International Food Policy Research Institute","Arun Gautham Chandrasekhar","Massachusetts Institute of Technology","Christopher Udry","Yale University","Jonathan Robinson","University of California-Santa Cruz","Greg Fischer","London School of Economics","","","ABHIJIT",2,0,1,0,2,1,0,1,0
"Abhijit","Abhijit V. Banerjee","On the Road: Access to Transportation Infrastructure and Economic Growth in China","Massachusetts Institute of Technology","Jan 06 2013","10:15 AM","Hyatt, Randle D","American Economic Association","Urbanization and Transportation Infrastructure in Developing Countries","O1","Benjamin A. Olken","Massachusetts Institute of Technology","Michael E. Waugh","New York University","Nancy Qian","Yale University","Benjamin A. Olken","Massachusetts Institute of Technology","Guy Michaels","London School of Economics","","","ABHIJIT",2,0,1,0,2,1,0,1,0
"Adam","Adam McCloskey","Bonferroni-Based Size-Correction for Nonstandard Testing Problems","Brown University","Jan 06 2013","10:15 AM","Hyatt, Gibbons","Econometric Society","Weakly Identified Models","C2","Zhongjun Qu","Boston University","Tiemen Woutersen","University of Arizona","Patrick Guggenberger","University of California-San Diego","Xu Chen","University of Pennsylvania","Yixiao Sun","University of California-San Diego","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam Zawadowski","The Anatomy of the CDS Market","Boston University","Jan 06 2013","1:00 PM","Hyatt, Elizabeth Ballroom F","American Economic Association","Causes and Consequences of Credit Default Swap Trading","G1","Francis Longstaff","University of California-Los Angeles","Or Shachar","New York University","Murillo Campello","Cornell University","Erik Staffor","Harvard Business School","Jennie Bai","Federal Reserve Bank of New York","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam Clemens","Educational Credentials and Employee Job Performance: Evidence from Marine Corps Officers","CNA Corporation","Jan 04 2013","12:30 PM","Marriott, Atlanta","Society of Government Economists","Micro Analysis of Education, Health, and Wages","D1","Quentin Wodon","The World Bank","","","","","","","","","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam M. Rosen","What Instrumental Variable Models Deliver with Discrete Dependent Variables","University College London","Jan 04 2013","8:00 AM","Hyatt, Manchester E","American Economic Association","What Nonparametric Methods Teach Us about Linear Methods for Models with Endogeneity","C1","Rosa Matzkin","University of California-Los Angeles","Adam M. Rosen","University College London","Amit Gandhi","University of Wisconsin-Madison","Geert Ridder","University of Southern California","","","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
