"first_name","author","paper_title","author_affiliation","date","time","location","association","session_title","session_jel_code","session_chair","session_chair_affiliation","discussant_1","discussant_1_affiliation","discussant_2","discussant_2_affiliation","discussant_3","discussant_3_affiliation","discussant_4","discussant_4_affiliation","discussant_5","discussant_5_affiliation","firstname","total_male","total_female","prob_male","prob_female","total_names","male_75","female_75","male_95","female_95"
"Aaron","Aaron Schiff","Web 2.0 and Economic Education","Covec","Jan 07 2011","2:30 PM","Sheraton, Vail","American Economic Association","Teaching Undergraduate Economics","A1","Kenneth Elzinga","University of Virginia","Kenneth G. Elzinga","University of Virginia","","","","","","","","","AARON",880,1,0.9988649,0.0011351,881,1,0,1,0
"Aaron","Aaron Mehrotra","The Case For Optimizing GDP Growth Announcements — China’s Growth Revisited","Bank Of Finland","Jan 09 2011","1:00 PM","Hyatt Regency, Mineral Hall D & E","Association for Comparative Economic Studies","Perspectives on China's growth","O5","Aaron Mehrotra","Bank of Finland Institute for Economies in Transition","Amelia U. Santos Paulino","World Institute For Development Economics Research","Pierre Siklos","Wilfrid Laurier University","Ali M. Kutan","Southern Illinois University","Eric Girardin","Université De La Méditerranée Aix-Marseille","","","AARON",880,1,0.9988649,0.0011351,881,1,0,1,0
"Aaron","Aaron Popp","Seasonality in a Menu Cost Model","The Ohio State University","Jan 07 2011","8:00 AM","Sheraton, Director's Row I","American Economic Association","Prices and Inflation","E3","Gregory E. Givens","Middle Tennessee State University","","","","","","","","","","","AARON",880,1,0.9988649,0.0011351,881,1,0,1,0
"Abdallah","Abdallah AlHassan","Forecasting GDP and Inflation for the GCC Area in a “Data-Rich Environment”","International Monetary Fund","Jan 08 2011","2:30 PM","Sheraton, Plaza Court 3","Middle East Economic Association","Economies of the GCC Countries: Oil, Stocks, and Sustainability","O5","Jeffery Nugent","University of Southern California","Shawkat Hammoudeh","Drexel University","Ali Kutan","Southern Illinois University-Edwardsville","Hassan Y. Aly","African Development Bank","İsmail Genc","Amrican University of Sharjah","Haluk Erlat","Middle East Technical University","ABDALLAH",3,0,1,0,3,1,0,1,0
"Abdul","Abdul B. Kamara","Smallholder Agriculture in East Africa: Trends, Constraints and Opportunities","African Development Bank","Jan 07 2011","8:00 AM","Hyatt Regency, Granite A","National Economic Association/African Finance & Economics Association","Africa Development Issues","O1","Kwabena Gyimah-Brempong","University of South Florida","Gregory Price","Morehouse College","Willene Johnson","Komaza Inc","Leonce Ndikumana","African Development Bank","Fekru Debebe","Educational Testing Service","Edward Ghartey","University of West Indies","ABDUL",110,1,0.990991,0.009009,111,1,0,1,0
"Abdul","Abdul B. Kamara","Africa: Lessons from Monetary and Financial Policies During the Crisis","African Development Bank","Jan 08 2011","10:15 AM","Hyatt Regency, Granite A","National Economic Association","Issues in African Economies: China and the Global Financial Crisis","O2","Richard America","Georgetown University","Willene A Johnson","Komaza, Inc","Diery Seck","CREPOL, Senegal","Akpan Ekpo","WAIFEM","Romie Tribble","Spelman College","Kwabena Brempong","University of South Florida","ABDUL",110,1,0.990991,0.009009,111,1,0,1,0
"Abel","Abel Valenzuela","Day Labor Worker Centers as Community Institutions: Regulating and Integrating Immigrant Workers","University of California-Los Angeles","Jan 08 2011","8:00 AM","Hyatt Regency, Agate B","Union for Radical Political Economists","Immigrant Labor in the U.S.: Towards a New Transnationalism","J8","George DeMartino","University of Denver","Janice Fine","Rutgers University","Tony Robinson","University of Colorado-Denver","","","","","","","ABEL",57,0,1,0,57,1,0,1,0
"Abhay","Abhay Devasthale","Temperature Inversion, Air Pollution and Health","Swedish Meterological and Hydrological Institute (SMHI)","Jan 09 2011","1:00 PM","Sheraton, Governor's Square 9","American Economic Association","The Economics of Sickness Absence","J2","Nicolas Ziebarth","German Institute for Economic Research (DIW Berlin)","Martin Karlsson","TU Darmstadt","Peter Nilsson","Uppsala Center for Labor Studies","Nicolas Ziebarth","DIW Berlin","Per Johansson","Instiutute for Labour Market Policy Evaluation","Knut Roed","The Ragnar Frisch Centre for Economic Research","ABHAY",7,0,1,0,7,1,0,1,0
"Adam","Adam Seth Litwin","Human Resource Management and Investments in Information Technology","Johns Hopkins University","Jan 09 2011","1:00 PM","Westin Tabor, Lawrence A","Labor & Employment Relations Association","LERA Refereed Papers Session II","J5","Ann Frost","University of Western Ontario","Mark Stuart","University of Leeds","","","","","","","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam V. Reed","How are Shorts Informed? Short Sellers, News, and Information Processing","University of North Carolina-Chapel Hill","Jan 09 2011","10:15 AM","Marriott, Colorado Salons G & H","American Finance Association","Microstructure Meets Asset Pricing","G1","Mark Seasholes","Hong Kong University of Science and Technology","Terrence J. Hendershott","University of California-Berkeley","Diego Garcia","University of North Carolina-Chapel Hill","Andrea Frazzini","AQR Capital Management, LLC","","","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
